Fold,Metric,Mean
0,Recall,0.1340118085767557
0,Precision,0.2797599740512488
0,Accuracy,0.636871898804948
0,F1_Score,0.1812165143397416
0,Sensitivity,0.1340118085767557
0,Specificity,0.8522375644651472
0,Balanced_Accuracy,0.4931246865209515
0,PPV_(Positive_Predictive_Value),0.2797599740512488
0,NPV_(Negative_Predictive_Value),0.6967710345202797
0,FPR_(False_Positive_Rate),0.1477624355348527
0,FNR_(False_Negative_Rate),0.8659881914232442
0,Matthews_Correlation_Coefficient,-0.0179642240638355
0,Cohen_Kappa,-0.0161567887533273
0,TP_(True_Positives),3450.0
0,FP_(False_Positives),8882.0
0,FN_(False_Negatives),22294.0
0,TN_(True_Negatives),51228.0
1,Recall,0.9989263296993725
1,Precision,0.9659771583739318
1,Accuracy,0.9881648828619956
1,F1_Score,0.98217548418531
1,Sensitivity,0.9989263296993725
1,Specificity,0.9829497698619172
1,Balanced_Accuracy,0.9909380497806448
1,PPV_(Positive_Predictive_Value),0.9659771583739318
1,NPV_(Negative_Predictive_Value),0.99947094253622
1,FPR_(False_Positive_Rate),0.0170502301380828
1,FNR_(False_Negative_Rate),0.0010736703006276
1,Matthews_Correlation_Coefficient,0.9736274521861604
1,Cohen_Kappa,0.9733207263961274
1,TP_(True_Positives),12095.0
1,FP_(False_Positives),426.0
1,FN_(False_Negatives),13.0
1,TN_(True_Negatives),24559.0
2,Recall,0.9801380595434718
2,Precision,0.3452267303102625
2,Accuracy,0.4318371005955049
2,F1_Score,0.5106063781672971
2,Sensitivity,0.9801380595434718
2,Specificity,0.1941547951241004
2,Balanced_Accuracy,0.5871464273337861
2,PPV_(Positive_Predictive_Value),0.3452267303102625
2,NPV_(Negative_Predictive_Value),0.9575373472159348
2,FPR_(False_Positive_Rate),0.8058452048758995
2,FNR_(False_Negative_Rate),0.0198619404565281
2,Matthews_Correlation_Coefficient,0.2297163802666999
2,Cohen_Kappa,0.1145955298136379
2,TP_(True_Positives),23144.0
2,FP_(False_Positives),43896.0
2,FN_(False_Negatives),469.0
2,TN_(True_Negatives),10576.0
3,Recall,0.069409389197375
3,Precision,0.6061719324026451
3,Accuracy,0.7033598076455767
3,F1_Score,0.1245565033592511
3,Sensitivity,0.069409389197375
3,Specificity,0.9803002738114928
3,Balanced_Accuracy,0.5248548315044339
3,PPV_(Positive_Predictive_Value),0.6061719324026451
3,NPV_(Negative_Predictive_Value),0.7068652523619595
3,FPR_(False_Positive_Rate),0.0196997261885072
3,FNR_(False_Negative_Rate),0.930590610802625
3,Matthews_Correlation_Coefficient,0.1247436289511138
3,Cohen_Kappa,0.0662207420329475
3,TP_(True_Positives),1650.0
3,FP_(False_Positives),1072.0
3,FN_(False_Negatives),22122.0
3,TN_(True_Negatives),53345.0
4,Recall,0.9657313618193814
4,Precision,0.9997187738540034
4,Accuracy,0.9923079582382632
4,F1_Score,0.9824312053377552
4,Sensitivity,0.9657313618193814
4,Specificity,0.99992216773964
4,Balanced_Accuracy,0.9828267647795106
4,PPV_(Positive_Predictive_Value),0.9997187738540034
4,NPV_(Negative_Predictive_Value),0.990276722495678
4,FPR_(False_Positive_Rate),7.78322603600298e-05
4,FNR_(False_Negative_Rate),0.0342686381806186
4,Matthews_Correlation_Coefficient,0.9777487638946956
4,Cohen_Kappa,0.97750916215677
4,TP_(True_Positives),24884.0
4,FP_(False_Positives),7.0
4,FN_(False_Negatives),883.0
4,TN_(True_Negatives),89930.0
