Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Recall,0.9726394225171732,0.9726354796362421,0.0010310584595477502,0.9706416973987019,0.9746801249589836,0.0020192137801408605
Precision,0.9984462770407554,0.9984417265003769,0.0002509899743833897,0.9979434406630058,0.998929323057246,0.0004929411971201225
Accuracy,0.9935697987969301,0.9935689431653184,0.00024143735751356096,0.9931117333886469,0.9940107947866971,0.00044953069902509135
F1_Score,0.985373908940788,0.9853693833769565,0.0005487058291664658,0.9843060618121863,0.9864372762106329,0.0010656071992233285
Sensitivity,0.9726394225171732,0.9726354796362421,0.0010310584595477502,0.9706416973987019,0.9746801249589836,0.0020192137801408605
Specificity,0.9995663631208512,0.9995651530808529,7.027482313603074e-05,0.999422160585016,0.9997001221687348,0.00013898079185942214
Balanced_Accuracy,0.9861028928190122,0.9861003163585476,0.0005181990858715653,0.9851094407493296,0.9871107297422524,0.0010006444964614225
PPV_(Positive_Predictive_Value),0.9984462770407554,0.9984417265003769,0.0002509899743833897,0.9979434406630058,0.998929323057246,0.0004929411971201225
NPV_(Negative_Predictive_Value),0.9922188007019636,0.9922192725272172,0.00029668280040801064,0.9916451530208373,0.9927870387268058,0.0005709428529842575
FPR_(False_Positive_Rate),0.00043363687914873747,0.00043484691914709894,7.027482313603143e-05,0.00029987783126517013,0.0005778394149839917,0.0001389807918594108
FNR_(False_Negative_Rate),0.027360577482826873,0.027364520363757906,0.0010310584595477526,0.025319875041016366,0.029358302601298094,0.002019213780140864
Matthews_Correlation_Coefficient,0.9813920318664783,0.9813873361224729,0.0006918930921251102,0.9800684198050691,0.9827304361639515,0.0013310081794412065
Cohen_Kappa,0.9812538439230905,0.9812489365787246,0.0007019386657367519,0.9799084887950521,0.9826107240397158,0.0013511176223318655
TP_(True_Positives),25062.0,25062.0,0.0,25062.0,25062.0,0.0
FP_(False_Positives),39.0,39.0,0.0,39.0,39.0,0.0
FN_(False_Negatives),705.0,705.0,0.0,705.0,705.0,0.0
TN_(True_Negatives),89898.0,89898.0,0.0,89898.0,89898.0,0.0
