Metric,Mean,Std,Formatted,Run_Range
Recall,0.6339017037787759,0.4353919670815003,0.6339 ± 0.4354,34.4
Precision,0.6749049580895413,0.3096208001044055,0.6749 ± 0.3096,34.4
Accuracy,0.7487189946515926,0.2258717918310534,0.7487 ± 0.2259,34.4
F1_Score,0.5583009924833493,0.37539429597405977,0.5583 ± 0.3754,34.4
Sensitivity,0.6339017037787759,0.4353919670815003,0.6339 ± 0.4354,34.4
Specificity,0.7977517958244003,0.33058564136990826,0.7978 ± 0.3306,34.4
Balanced_Accuracy,0.7158267498015882,0.2267427684446425,0.7158 ± 0.2267,34.4
PPV_(Positive_Predictive_Value),0.6749049580895413,0.3096208001044055,0.6749 ± 0.3096,34.4
NPV_(Negative_Predictive_Value),0.8764770080452206,0.1414188887286764,0.8765 ± 0.1414,34.4
FPR_(False_Positive_Rate),0.2022482041755997,0.33058564136990826,0.2022 ± 0.3306,34.4
FNR_(False_Negative_Rate),0.36609829622122403,0.4353919670815003,0.3661 ± 0.4354,34.4
Matthews_Correlation_Coefficient,0.468388161634936,0.43044909960775735,0.4684 ± 0.4304,34.4
Cohen_Kappa,0.4268406823638188,0.45909525817338126,0.4268 ± 0.4591,34.4
TP_(True_Positives),13145.8,9760.918448588738,13145.8000 ± 9760.9184,34.4
FP_(False_Positives),11156.6,17994.399979993774,11156.6000 ± 17994.4000,34.4
FN_(False_Negatives),9055.0,10749.479987422648,9055.0000 ± 10749.4800,34.4
TN_(True_Negatives),45627.6,27985.310579659465,45627.6000 ± 27985.3106,34.4
