,precision,recall,f1-score,support
Negative,0.8709677419354839,0.9473684210526315,0.9075630252100839,57.0
Positive,0.9423076923076923,0.8596491228070176,0.8990825688073394,57.0
accuracy,0.9035087719298246,0.9035087719298246,0.9035087719298246,0.9035087719298246
macro avg,0.906637717121588,0.9035087719298245,0.9033227970087117,114.0
weighted avg,0.9066377171215881,0.9035087719298246,0.9033227970087117,114.0
Sensitivity_(Recall),0.8596491228070176,,,
Specificity,0.9473684210526315,,,
Balanced_Accuracy,0.9035087719298245,,,
PPV_(Positive_Predictive_Value),0.9423076923076923,,,
NPV_(Negative_Predictive_Value),0.8709677419354839,,,
FPR_(False_Positive_Rate),0.05263157894736842,,,
FNR_(False_Negative_Rate),0.14035087719298245,,,
Matthews_Correlation_Coefficient,0.810140446727799,,,
Cohen_Kappa,0.8070175438596492,,,
TP_(True_Positives),49.0,,,
FP_(False_Positives),3.0,,,
FN_(False_Negatives),8.0,,,
TN_(True_Negatives),54.0,,,
