Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin,Wilson_CI_Lower,Wilson_CI_Upper
Recall,0.8771929824561403,0.8784620720688329,0.04326223497786755,0.788422131147541,0.9555555555555556,0.0835667122040073,0.7675355156482598,0.9392193984100191
Precision,0.9259259259259259,0.9267379650948807,0.035188973556058094,0.8518518518518519,0.9833467741935483,0.06574746117084823,0.8244588416140005,0.9708184722344951
Accuracy,0.9035087719298246,0.9044473684210527,0.028241733142997494,0.8508771929824561,0.956140350877193,0.05263157894736842,0.832998299039663,0.972373579770934
F1_Score,0.9009009009009009,0.9011794985070795,0.030123399189462996,0.8411018613052698,0.9565217391304347,0.05770993891258247,0.832998299039663,0.972373579770934
Sensitivity,0.8771929824561403,0.8784620720688329,0.04326223497786755,0.788422131147541,0.9555555555555556,0.0835667122040073,0.8771929824561403,0.8771929824561403
Specificity,0.9298245614035088,0.9303694640620152,0.033576270335262094,0.8596422697368421,0.9841269841269841,0.062242357195070985,0.9298245614035088,0.9298245614035088
Balanced_Accuracy,0.9035087719298245,0.904415768065424,0.02799584950167776,0.8503694201765505,0.9565628295595533,0.053096704691501406,0.9035087719298245,0.9035087719298245
PPV_(Positive_Predictive_Value),0.9259259259259259,0.9267379650948807,0.035188973556058094,0.8518518518518519,0.9833467741935483,0.06574746117084823,0.8244588416140005,0.9708184722344951
NPV_(Negative_Predictive_Value),0.8833333333333333,0.8841850971407003,0.042048420382923946,0.7962962962962963,0.9636525974025973,0.08367815055315053,0.8833333333333333,0.8833333333333333
FPR_(False_Positive_Rate),0.07017543859649122,0.06963053593798481,0.033576270335262094,0.015873015873015872,0.14035773026315787,0.062242357195071,0.07017543859649122,0.07017543859649122
FNR_(False_Negative_Rate),0.12280701754385964,0.12153792793116712,0.04326223497786755,0.044444444444444446,0.21157786885245897,0.08356671220400726,0.12280701754385964,0.12280701754385964
Matthews_Correlation_Coefficient,0.8081376242652525,0.8098570539530515,0.055710265234358916,0.7022674476855342,0.9128054192294077,0.10526898577193677,0.8081376242652525,0.8081376242652525
Cohen_Kappa,0.8070175438596492,0.807502238620455,0.05651899385239978,0.7004636785162287,0.9122807017543859,0.1059085116190786,0.8070175438596492,0.8070175438596492
