Metric,Value
Recall,0.8771929824561403
Precision,0.9259259259259259
Accuracy,0.9035087719298246
F1_Score,0.9009009009009009
Sensitivity,0.8771929824561403
Specificity,0.9298245614035088
Balanced_Accuracy,0.9035087719298245
PPV_(Positive_Predictive_Value),0.9259259259259259
NPV_(Negative_Predictive_Value),0.8833333333333333
FPR_(False_Positive_Rate),0.07017543859649122
FNR_(False_Negative_Rate),0.12280701754385964
Matthews_Correlation_Coefficient,0.8081376242652525
Cohen_Kappa,0.8070175438596492
TP_(True_Positives),50.0
FP_(False_Positives),4.0
FN_(False_Negatives),7.0
TN_(True_Negatives),53.0
Ultimate_Ghost_Count,7.0
Ensemble_ROC_AUC_(Mean_Prob),0.9695290858725762
Ensemble_PR_AUC_(Mean_Prob),0.9748535076529417
Ensemble_ROC_AUC_(Max_Prob),0.9712219144352108
Ensemble_PR_AUC_(Max_Prob),0.9764475642875485
Avg_Fold_ROC_AUC,0.9647583871960604
Avg_Fold_PR_AUC,0.9721706302466501
Fold_ROC_AUC_Variance,0.011112773548163566
Fold_PR_AUC_Variance,0.006114842562069683
Fold_Agreement_Rate_(Unanimous%),90.35087719298247
Disagreement_Rate_%,9.649122807017541
Max_Disagreement_Count,2.5
Close_Call_Rate_(3v2_Splits)_%,4.385964912280701
Avg_Voting_Confidence_(Models_Agreeing),2.1228070175438596
Avg_Voting_Margin_(0-2.5),2.3596491228070176
Consensus_Entropy_(Bits),1.500767646435258
Avg_Per_Patient_Entropy_(Bits),0.08058176790875014
High_Entropy_Patients_Rate_%,4.385964912280701
Recall_Variance_Across_Folds,0.045207363953421516
Precision_Variance_Across_Folds,0.019142261017275647
Accuracy_Variance_Across_Folds,0.015091798714109855
Specificity_Variance_Across_Folds,0.017189401703741614
Avg_Fold_Recall,0.8175438596491228
Avg_Fold_Precision,0.9641218025671808
Avg_Fold_Accuracy,0.8929824561403509
Avg_Fold_Specificity,0.968421052631579
Ensemble_Recall_Delta_vs_AvgFold,0.05964912280701751
Ensemble_Precision_Delta_vs_AvgFold,-0.0381958766412549
Ensemble_Accuracy_Delta_vs_AvgFold,0.010526315789473717
Ensemble_Specificity_Delta_vs_AvgFold,-0.038596491228070184
Avg_Pairwise_Fold_Agreement_Rate,0.9526315789473683
Ensemble_Change_From_Majority_Vote_Rate_%,5.263157894736842
Ensemble_Change_From_Any_Flagged_Rate_%,0.8771929824561403
Safety_Override_Activation_Rate_%,47.368421052631575
Majority_Vote_Rescue_Rate_%,11.11111111111111
Weak_Signal_Patients_Rate_(1-2_Models)_%,9.25925925925926
Strong_Signal_Patients_Rate_(4-5_Models)_%,87.03703703703704
