Metric,Mean,Std,Formatted,Run_Range
Accuracy,0.8929824561403509,0.016873143913746804,0.8930 ± 0.0169,419-423
Precision(+),0.9641218025671808,0.02140169843883629,0.9641 ± 0.0214,419-423
Recall(+),0.8175438596491228,0.05054336944171207,0.8175 ± 0.0505,419-423
Recall(-),0.968421052631579,0.019218335351058442,0.9684 ± 0.0192,419-423
F1_Macro,0.8921856663181295,0.01768228768637834,0.8922 ± 0.0177,419-423
Sensitivity_(Recall),0.8175438596491228,0.05054336944171207,0.8175 ± 0.0505,419-423
Specificity,0.968421052631579,0.019218335351058442,0.9684 ± 0.0192,419-423
Balanced_Accuracy,0.8929824561403509,0.016873143913746773,0.8930 ± 0.0169,419-423
PPV_(Positive_Predictive_Value),0.9641218025671808,0.02140169843883629,0.9641 ± 0.0214,419-423
NPV_(Negative_Predictive_Value),0.8430274922210407,0.03324772828285204,0.8430 ± 0.0332,419-423
FPR_(False_Positive_Rate),0.03157894736842104,0.019218335351058453,0.0316 ± 0.0192,419-423
FNR_(False_Negative_Rate),0.18245614035087715,0.05054336944171207,0.1825 ± 0.0505,419-423
Matthews_Correlation_Coefficient,0.7964346202188157,0.025217540168363133,0.7964 ± 0.0252,419-423
Cohen_Kappa,0.7859649122807018,0.03374628782749358,0.7860 ± 0.0337,419-423
