Metric,Point_Estimate,Fold_Std,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Accuracy,0.8929824561403509,0.016873143913746804,0.8927894736842105,0.006791513361513195,0.8789473684210526,0.9052631578947368,0.01315789473684209
Precision(+),0.9641218025671808,0.02140169843883629,0.9645926940006772,0.008723888032027985,0.9506678055837721,0.9838235294117647,0.016577861913996295
Recall(+),0.8175438596491228,0.05054336944171207,0.8167578947368422,0.020526113059427708,0.7735964912280702,0.8526315789473685,0.039517543859649173
Recall(-),0.968421052631579,0.019218335351058442,0.968821052631579,0.007830934388365816,0.9560526315789475,0.9859649122807017,0.014956140350877112
F1_Macro,0.8921856663181295,0.01768228768637834,0.8919750808363333,0.0071263328703212074,0.8773614604415559,0.9049367235519554,0.013787631555199742
Sensitivity_(Recall),0.8175438596491228,0.05054336944171207,0.8167578947368422,0.020526113059427708,0.7735964912280702,0.8526315789473685,0.039517543859649173
Specificity,0.968421052631579,0.019218335351058442,0.968821052631579,0.007830934388365816,0.9560526315789475,0.9859649122807017,0.014956140350877112
Balanced_Accuracy,0.8929824561403509,0.016873143913746773,0.8927894736842105,0.006791513361513182,0.8789473684210526,0.9052631578947368,0.01315789473684209
PPV_(Positive_Predictive_Value),0.9641218025671808,0.02140169843883629,0.9645926940006772,0.008723888032027985,0.9506678055837721,0.9838235294117647,0.016577861913996295
NPV_(Negative_Predictive_Value),0.8430274922210407,0.03324772828285204,0.8425584603568474,0.013457377107789865,0.8146009098428453,0.866414588995234,0.025906839576194385
FPR_(False_Positive_Rate),0.03157894736842104,0.019218335351058453,0.031178947368421042,0.00783093438836584,0.014035087719298239,0.043947368421052534,0.014956140350877146
FNR_(False_Negative_Rate),0.18245614035087715,0.05054336944171207,0.18324210526315785,0.02052611305942771,0.1473684210526315,0.22640350877192972,0.039517543859649104
Matthews_Correlation_Coefficient,0.7964346202188157,0.025217540168363133,0.7962378996577808,0.010044181573170441,0.7769041608757318,0.8158760379231393,0.019485938523703783
Cohen_Kappa,0.7859649122807018,0.03374628782749358,0.785578947368421,0.013583026723026392,0.7578947368421053,0.8105263157894738,0.026315789473684237
