Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Recall,0.8245614035087719,0.8255276953536056,0.05043698549029506,0.7253857280617165,0.9231060606060606,0.09886016627217203
Precision,0.9215686274509803,0.9228858408164317,0.03689706792220846,0.8420753588516746,0.9807692307692307,0.06934693595877806
Accuracy,0.8771929824561403,0.878140350877193,0.031016353077086993,0.8157894736842105,0.9385964912280702,0.06140350877192985
F1_Score,0.8703703703703703,0.8704492744224483,0.03436725275571589,0.7999074074074074,0.9333333333333333,0.06671296296296297
Sensitivity,0.8245614035087719,0.8255276953536056,0.05043698549029506,0.7253857280617165,0.9231060606060606,0.09886016627217203
Specificity,0.9298245614035088,0.930704539610627,0.03375333651084254,0.8571428571428571,0.9833333333333333,0.0630952380952381
Balanced_Accuracy,0.8771929824561404,0.8781161174821164,0.03044384385356082,0.816407196969697,0.9361150002840605,0.05985390165718174
PPV_(Positive_Predictive_Value),0.9215686274509803,0.9228858408164317,0.03689706792220846,0.8420753588516746,0.9807692307692307,0.06934693595877806
NPV_(Negative_Predictive_Value),0.8412698412698413,0.8418022561713893,0.04723716687738198,0.7424242424242424,0.9305555555555556,0.09406565656565657
FPR_(False_Positive_Rate),0.07017543859649122,0.06929546038937294,0.03375333651084254,0.016666666666666666,0.14285714285714285,0.0630952380952381
FNR_(False_Negative_Rate),0.17543859649122806,0.17447230464639438,0.05043698549029505,0.0768939393939394,0.2746142719382834,0.098860166272172
Matthews_Correlation_Coefficient,0.7586004444357805,0.760398090967237,0.060050828111261494,0.6374969089151509,0.8759004371284371,0.11920176410664313
Cohen_Kappa,0.7543859649122806,0.75466637931648,0.06181587215928775,0.6297384349170331,0.8744314131452198,0.12234648911409335
