Metric,Value
Recall,0.8245614035087719
Precision,0.9215686274509803
Accuracy,0.8771929824561403
F1_Score,0.8703703703703703
Sensitivity,0.8245614035087719
Specificity,0.9298245614035088
Balanced_Accuracy,0.8771929824561404
PPV_(Positive_Predictive_Value),0.9215686274509803
NPV_(Negative_Predictive_Value),0.8412698412698413
FPR_(False_Positive_Rate),0.07017543859649122
FNR_(False_Negative_Rate),0.17543859649122806
Matthews_Correlation_Coefficient,0.7586004444357805
Cohen_Kappa,0.7543859649122806
TP_(True_Positives),47.0
FP_(False_Positives),4.0
FN_(False_Negatives),10.0
TN_(True_Negatives),53.0
