Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Recall,0.8596491228070176,0.8586813528409379,0.045353866046927684,0.7666666666666667,0.9444444444444444,0.08888888888888885
Precision,0.9074074074074074,0.9082756175505652,0.039382003106690114,0.8235294117647058,0.9795918367346939,0.078031212484994
Accuracy,0.8859649122807017,0.8858508771929825,0.029328735841759622,0.8245614035087719,0.9385964912280702,0.057017543859649134
F1_Score,0.8828828828828829,0.8818330909967638,0.03169696643215553,0.8155160014383315,0.9369369369369368,0.060710467749302666
Sensitivity,0.8596491228070176,0.8586813528409379,0.045353866046927684,0.7666666666666667,0.9444444444444444,0.08888888888888885
Specificity,0.9122807017543859,0.9130528177469509,0.037546548075954374,0.8332627118644068,0.9818181818181818,0.0742777349768875
Balanced_Accuracy,0.8859649122807017,0.8858670852939443,0.029225559547309866,0.8266024342661167,0.938830465673686,0.05611401570378466
PPV_(Positive_Predictive_Value),0.9074074074074074,0.9082756175505652,0.039382003106690114,0.8235294117647058,0.9795918367346939,0.078031212484994
NPV_(Negative_Predictive_Value),0.8666666666666667,0.8655804670022321,0.04463419136418277,0.7758317144244778,0.9491525423728814,0.08666041397420177
FPR_(False_Positive_Rate),0.08771929824561403,0.08694718225304916,0.037546548075954374,0.01818181818181818,0.16673728813559316,0.07427773497688749
FNR_(False_Negative_Rate),0.14035087719298245,0.1413186471590621,0.045353866046927684,0.05555555555555555,0.23333333333333334,0.08888888888888889
Matthews_Correlation_Coefficient,0.7730012058189372,0.7727736882729463,0.05836813460430949,0.6532801407080415,0.8772552738927536,0.11198756659235604
Cohen_Kappa,0.7719298245614035,0.7700941930918878,0.05890460372949973,0.649661954517517,0.8767434214192572,0.11354073345087012
