Metric,Value
Recall,0.8596491228070176
Precision,0.9074074074074074
Accuracy,0.8859649122807017
F1_Score,0.8828828828828829
Sensitivity,0.8596491228070176
Specificity,0.9122807017543859
Balanced_Accuracy,0.8859649122807017
PPV_(Positive_Predictive_Value),0.9074074074074074
NPV_(Negative_Predictive_Value),0.8666666666666667
FPR_(False_Positive_Rate),0.08771929824561403
FNR_(False_Negative_Rate),0.14035087719298245
Matthews_Correlation_Coefficient,0.7730012058189372
Cohen_Kappa,0.7719298245614035
TP_(True_Positives),49.0
FP_(False_Positives),5.0
FN_(False_Negatives),8.0
TN_(True_Negatives),52.0
