Metric,Value
Recall,0.8771929824561403
Precision,0.9259259259259259
Accuracy,0.9035087719298246
F1_Score,0.9009009009009009
Sensitivity,0.8771929824561403
Specificity,0.9298245614035088
Balanced_Accuracy,0.9035087719298245
PPV_(Positive_Predictive_Value),0.9259259259259259
NPV_(Negative_Predictive_Value),0.8833333333333333
FPR_(False_Positive_Rate),0.07017543859649122
FNR_(False_Negative_Rate),0.12280701754385964
Matthews_Correlation_Coefficient,0.8081376242652525
Cohen_Kappa,0.8070175438596492
TP_(True_Positives),50.0
FP_(False_Positives),4.0
FN_(False_Negatives),7.0
TN_(True_Negatives),53.0
ROC_AUC_(Mean_Prob),0.9695290858725762
PR_AUC_(Mean_Prob),0.9748535076529417
ROC_AUC_(Max_Prob),0.9712219144352108
PR_AUC_(Max_Prob),0.9764475642875485
