,precision,recall,f1-score,support
Negative,0.864406779661017,0.8947368421052632,0.8793103448275862,57.0
Positive,0.8909090909090909,0.8596491228070176,0.875,57.0
accuracy,0.8771929824561403,0.8771929824561403,0.8771929824561403,0.8771929824561403
macro avg,0.877657935285054,0.8771929824561404,0.8771551724137931,114.0
weighted avg,0.8776579352850539,0.8771929824561403,0.8771551724137931,114.0
Sensitivity_(Recall),0.8596491228070176,,,
Specificity,0.8947368421052632,,,
Balanced_Accuracy,0.8771929824561404,,,
PPV_(Positive_Predictive_Value),0.8909090909090909,,,
NPV_(Negative_Predictive_Value),0.864406779661017,,,
FPR_(False_Positive_Rate),0.10526315789473684,,,
FNR_(False_Negative_Rate),0.14035087719298245,,,
Matthews_Correlation_Coefficient,0.7548507745465921,,,
Cohen_Kappa,0.7543859649122807,,,
TP_(True_Positives),49.0,,,
FP_(False_Positives),6.0,,,
FN_(False_Negatives),8.0,,,
TN_(True_Negatives),51.0,,,
