Metric,Value
Recall,0.8421052631578947
Precision,1.0
Accuracy,0.9210526315789473
F1_Score,0.9142857142857143
Sensitivity,0.8421052631578947
Specificity,1.0
Balanced_Accuracy,0.9210526315789473
PPV_(Positive_Predictive_Value),1.0
NPV_(Negative_Predictive_Value),0.8636363636363636
FPR_(False_Positive_Rate),0.0
FNR_(False_Negative_Rate),0.15789473684210525
Matthews_Correlation_Coefficient,0.8528028654224418
Cohen_Kappa,0.8421052631578947
TP_(True_Positives),48.0
FP_(False_Positives),0.0
FN_(False_Negatives),9.0
TN_(True_Negatives),57.0
