Metric,Value
Recall,0.8947368421052632
Precision,0.85
Accuracy,0.868421052631579
F1_Score,0.8717948717948718
Sensitivity,0.8947368421052632
Specificity,0.8421052631578947
Balanced_Accuracy,0.868421052631579
PPV_(Positive_Predictive_Value),0.85
NPV_(Negative_Predictive_Value),0.8888888888888888
FPR_(False_Positive_Rate),0.15789473684210525
FNR_(False_Negative_Rate),0.10526315789473684
Matthews_Correlation_Coefficient,0.7378647873726218
Cohen_Kappa,0.736842105263158
TP_(True_Positives),51.0
FP_(False_Positives),9.0
FN_(False_Negatives),6.0
TN_(True_Negatives),48.0
ROC_AUC_(Mean_Prob),0.9646044936903662
PR_AUC_(Mean_Prob),0.9700627511438054
ROC_AUC_(Max_Prob),0.9598337950138504
PR_AUC_(Max_Prob),0.9666738674452355
