,precision,recall,f1-score,support
Negative,0.9722222222222222,0.6140350877192983,0.7526881720430108,57.0
Positive,0.717948717948718,0.9824561403508771,0.8296296296296296,57.0
accuracy,0.7982456140350878,0.7982456140350878,0.7982456140350878,0.7982456140350878
macro avg,0.8450854700854701,0.7982456140350878,0.7911589008363202,114.0
weighted avg,0.8450854700854701,0.7982456140350878,0.7911589008363202,114.0
Sensitivity_(Recall),0.9824561403508771,,,
Specificity,0.6140350877192983,,,
Balanced_Accuracy,0.7982456140350878,,,
PPV_(Positive_Predictive_Value),0.717948717948718,,,
NPV_(Negative_Predictive_Value),0.9722222222222222,,,
FPR_(False_Positive_Rate),0.38596491228070173,,,
FNR_(False_Negative_Rate),0.017543859649122806,,,
Matthews_Correlation_Coefficient,0.6416236526819376,,,
Cohen_Kappa,0.5964912280701755,,,
TP_(True_Positives),56.0,,,
FP_(False_Positives),22.0,,,
FN_(False_Negatives),1.0,,,
TN_(True_Negatives),35.0,,,
