Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Recall,0.9298245614035088,0.9283030697816007,0.034842705272662415,0.8571428571428571,0.9830508474576272,0.06295399515738503
Precision,0.8688524590163934,0.8641385692511471,0.04448963650354769,0.7794117647058824,0.9508467741935483,0.085717504743833
Accuracy,0.8947368421052632,0.891719298245614,0.029042459444754067,0.8333333333333334,0.9473684210526315,0.05701754385964908
F1_Score,0.8983050847457625,0.8942276574460059,0.03001040422125304,0.8370296643247462,0.948675455116133,0.055822895395693406
Sensitivity,0.9298245614035088,0.9283030697816007,0.034842705272662415,0.8571428571428571,0.9830508474576272,0.06295399515738503
Specificity,0.8596491228070176,0.8555560031021386,0.04767847398961279,0.7545431976166832,0.9363475177304964,0.0909021600569066
Balanced_Accuracy,0.8947368421052632,0.8919295364418697,0.028935273311278462,0.8328011419150679,0.9473684210526316,0.05728363956878185
PPV_(Positive_Predictive_Value),0.8688524590163934,0.8641385692511471,0.04448963650354769,0.7794117647058824,0.9508467741935483,0.085717504743833
NPV_(Negative_Predictive_Value),0.9245283018867925,0.9236952594124893,0.035864387825036405,0.8486652542372881,0.9824561403508771,0.06689544305679451
FPR_(False_Positive_Rate),0.14035087719298245,0.14444399689786122,0.047678473989612793,0.06365248226950354,0.24545680238331677,0.09090216005690661
FNR_(False_Negative_Rate),0.07017543859649122,0.0716969302183994,0.034842705272662415,0.01694915254237288,0.14285714285714285,0.06295399515738498
Matthews_Correlation_Coefficient,0.7914248115215929,0.7858151421857321,0.056925385507321284,0.6678207781130405,0.8953049642248153,0.1137420930558874
Cohen_Kappa,0.7894736842105263,0.7821516734228576,0.058044918895249126,0.6653223618525941,0.8946427622347889,0.1146602001910974
TP_(True_Positives),53.0,53.0,0.0,53.0,53.0,0.0
FP_(False_Positives),8.0,8.0,0.0,8.0,8.0,0.0
FN_(False_Negatives),4.0,4.0,0.0,4.0,4.0,0.0
TN_(True_Negatives),49.0,49.0,0.0,49.0,49.0,0.0
