Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin,Wilson_CI_Lower,Wilson_CI_Upper
Recall,0.9824561403508771,0.9817356046578416,0.01711218875001154,0.9433962264150944,1.0,0.028301886792452824,0.9070925082143229,0.9968963353485918
Precision,0.5957446808510638,0.5958796529569267,0.050990706615187995,0.4946236559139785,0.6947597254004577,0.10006803474323961,0.49467299278537785,0.6892980989885815
Accuracy,0.6578947368421053,0.6580175438596491,0.04357433868333231,0.5701754385964912,0.7368421052631579,0.08333333333333331,0.2249380607515073,0.4627748841994856
F1_Score,0.7417218543046357,0.740311907287868,0.04024877452583445,0.6616635412554284,0.8138751051303617,0.07610578193746664,0.2249380607515073,0.4627748841994856
Sensitivity,0.9824561403508771,0.9817356046578416,0.01711218875001154,0.9433962264150944,1.0,0.028301886792452824,0.9824561403508771,0.9824561403508771
Specificity,0.3333333333333333,0.3340544266130809,0.059742511720345365,0.2238391376451078,0.4516433353621424,0.1139020988585173,0.3333333333333333,0.3333333333333333
Balanced_Accuracy,0.6578947368421052,0.6578950156354613,0.030746626391112586,0.5971093919154037,0.7182183730281473,0.0605544905563718,0.6578947368421052,0.6578947368421052
PPV_(Positive_Predictive_Value),0.5957446808510638,0.5958796529569267,0.050990706615187995,0.4946236559139785,0.6947597254004577,0.10006803474323961,0.49467299278537785,0.6892980989885815
NPV_(Negative_Predictive_Value),0.95,0.948332062236565,0.04871269873919446,0.8333333333333334,1.0,0.08333333333333331,0.95,0.95
FPR_(False_Positive_Rate),0.6666666666666666,0.6659455733869191,0.059742511720345365,0.5483566646378575,0.7761608623548922,0.11390209885851738,0.6666666666666666,0.6666666666666666
FNR_(False_Negative_Rate),0.017543859649122806,0.01826439534215842,0.01711218875001154,0.0,0.05660377358490566,0.02830188679245283,0.017543859649122806,0.017543859649122806
Matthews_Correlation_Coefficient,0.4151390436129983,0.4132440540360508,0.059730323408132474,0.2904396776139589,0.5247586508674565,0.11715948662674883,0.4151390436129983,0.4151390436129983
Cohen_Kappa,0.3157894736842106,0.31502679861043975,0.06426624393883812,0.1948502984015496,0.4437848743834062,0.1244672879909283,0.3157894736842106,0.3157894736842106
