Metric,Value
Recall,0.9824561403508771
Precision,0.5957446808510638
Accuracy,0.6578947368421053
F1_Score,0.7417218543046357
Sensitivity,0.9824561403508771
Specificity,0.3333333333333333
Balanced_Accuracy,0.6578947368421052
PPV_(Positive_Predictive_Value),0.5957446808510638
NPV_(Negative_Predictive_Value),0.95
FPR_(False_Positive_Rate),0.6666666666666666
FNR_(False_Negative_Rate),0.017543859649122806
Matthews_Correlation_Coefficient,0.4151390436129983
Cohen_Kappa,0.3157894736842106
TP_(True_Positives),56.0
FP_(False_Positives),38.0
FN_(False_Negatives),1.0
TN_(True_Negatives),19.0
Ultimate_Ghost_Count,1.0
Ensemble_ROC_AUC_(Mean_Prob),0.9547553093259464
Ensemble_PR_AUC_(Mean_Prob),0.9634338165611467
Ensemble_ROC_AUC_(Max_Prob),0.9532163742690059
Ensemble_PR_AUC_(Max_Prob),0.9624348786301067
Avg_Fold_ROC_AUC,0.9525084641428132
Avg_Fold_PR_AUC,0.9620676714885927
Fold_ROC_AUC_Variance,0.011178051369645314
Fold_PR_AUC_Variance,0.009860583664646736
Fold_Agreement_Rate_(Unanimous%),73.68421052631578
Disagreement_Rate_%,26.315789473684216
Max_Disagreement_Count,2.5
Close_Call_Rate_(3v2_Splits)_%,12.280701754385964
Avg_Voting_Confidence_(Models_Agreeing),3.5350877192982457
Avg_Voting_Margin_(0-2.5),2.1140350877192984
Consensus_Entropy_(Bits),1.8831817044081172
Avg_Per_Patient_Entropy_(Bits),0.22056278807511545
High_Entropy_Patients_Rate_%,12.280701754385964
Recall_Variance_Across_Folds,0.0070175438596491
Precision_Variance_Across_Folds,0.07539604211749595
Accuracy_Variance_Across_Folds,0.06973546285737471
Specificity_Variance_Across_Folds,0.14526485294375052
Avg_Fold_Recall,0.9789473684210526
Avg_Fold_Precision,0.7003456124272044
Avg_Fold_Accuracy,0.7719298245614035
Avg_Fold_Specificity,0.5649122807017544
Ensemble_Recall_Delta_vs_AvgFold,0.0035087719298245723
Ensemble_Precision_Delta_vs_AvgFold,-0.10460093157614059
Ensemble_Accuracy_Delta_vs_AvgFold,-0.11403508771929816
Ensemble_Specificity_Delta_vs_AvgFold,-0.23157894736842105
Avg_Pairwise_Fold_Agreement_Rate,0.8701754385964913
Ensemble_Change_From_Majority_Vote_Rate_%,13.157894736842104
Ensemble_Change_From_Any_Flagged_Rate_%,0.0
Safety_Override_Activation_Rate_%,82.45614035087719
Majority_Vote_Rescue_Rate_%,15.957446808510639
Weak_Signal_Patients_Rate_(1-2_Models)_%,15.957446808510639
Strong_Signal_Patients_Rate_(4-5_Models)_%,80.85106382978722
