Metric,Mean,Std,Formatted,Run_Range
Accuracy,0.7719298245614035,0.07796661769575079,0.7719 ± 0.0780,1-1
Precision(+),0.7003456124272044,0.08429533770457907,0.7003 ± 0.0843,1-1
Recall(+),0.9789473684210528,0.007845852552630865,0.9789 ± 0.0078,1-1
Recall(-),0.5649122807017544,0.1624110429618683,0.5649 ± 0.1624,1-1
F1_Macro,0.7578420437152265,0.0898899389242386,0.7578 ± 0.0899,1-1
Sensitivity_(Recall),0.9789473684210528,0.007845852552630865,0.9789 ± 0.0078,1-1
Specificity,0.5649122807017544,0.1624110429618683,0.5649 ± 0.1624,1-1
Balanced_Accuracy,0.7719298245614035,0.07796661769575079,0.7719 ± 0.0780,1-1
PPV_(Positive_Predictive_Value),0.7003456124272044,0.08429533770457907,0.7003 ± 0.0843,1-1
NPV_(Negative_Predictive_Value),0.9638736502960642,0.0073124752871283095,0.9639 ± 0.0073,1-1
FPR_(False_Positive_Rate),0.4350877192982455,0.16241104296186834,0.4351 ± 0.1624,1-1
FNR_(False_Negative_Rate),0.021052631578947358,0.007845852552630837,0.0211 ± 0.0078,1-1
Matthews_Correlation_Coefficient,0.5994771206007865,0.12478437468349898,0.5995 ± 0.1248,1-1
Cohen_Kappa,0.543859649122807,0.15593323539150156,0.5439 ± 0.1559,1-1
