Metric,Point_Estimate,Fold_Std,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Accuracy,0.7719298245614035,0.07796661769575079,0.7721964912280703,0.03076459213561175,0.7175438596491228,0.843859649122807,0.06315789473684208
Precision(+),0.7003456124272044,0.08429533770457907,0.7005178668253336,0.03307224531460781,0.6453925007477499,0.7801751094434022,0.06739130434782614
Recall(+),0.9789473684210528,0.007845852552630865,0.9789964912280703,0.0030785429833908055,0.9719298245614036,0.9824561403508772,0.005263157894736803
Recall(-),0.5649122807017544,0.1624110429618683,0.5653964912280701,0.0639962829791643,0.4526315789473684,0.7157894736842104,0.13157894736842102
F1_Macro,0.7578420437152265,0.0898899389242386,0.7581736386794297,0.03555029786159488,0.6934672676746979,0.8365321099088874,0.07153242111709474
Sensitivity_(Recall),0.9789473684210528,0.007845852552630865,0.9789964912280703,0.0030785429833908055,0.9719298245614036,0.9824561403508772,0.005263157894736803
Specificity,0.5649122807017544,0.1624110429618683,0.5653964912280701,0.0639962829791643,0.4526315789473684,0.7157894736842104,0.13157894736842102
Balanced_Accuracy,0.7719298245614035,0.07796661769575079,0.7721964912280703,0.030764592135611748,0.7175438596491228,0.8438596491228069,0.06315789473684202
PPV_(Positive_Predictive_Value),0.7003456124272044,0.08429533770457907,0.7005178668253336,0.03307224531460781,0.6453925007477499,0.7801751094434022,0.06739130434782614
NPV_(Negative_Predictive_Value),0.9638736502960642,0.0073124752871283095,0.9639698624172763,0.0030455601321997343,0.9575757575757576,0.969492337164751,0.005958289794496696
FPR_(False_Positive_Rate),0.4350877192982455,0.16241104296186834,0.43460350877192977,0.06399628297916435,0.28421052631578936,0.5473684210526315,0.13157894736842107
FNR_(False_Negative_Rate),0.021052631578947358,0.007845852552630837,0.02100350877192982,0.00307854298339081,0.0175438596491228,0.028070175438596478,0.005263157894736839
Matthews_Correlation_Coefficient,0.5994771206007865,0.12478437468349898,0.5999033987284639,0.049240876062790456,0.5121875866374743,0.7142996128713348,0.10105601311693024
Cohen_Kappa,0.543859649122807,0.15593323539150156,0.5443929824561403,0.0615291842712235,0.43508771929824563,0.6877192982456141,0.12631578947368421
