Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Recall,0.8947368421052632,0.8966180070028282,0.04078868028352721,0.8113207547169812,0.9677547363031234,0.0782169907930711
Precision,0.9272727272727272,0.9281070589635589,0.034602829484507804,0.8545454545454545,0.9836195680457975,0.06453705675017152
Accuracy,0.9122807017543859,0.9135175438596491,0.02718324528553602,0.8596491228070176,0.9649122807017544,0.05263157894736842
F1_Score,0.9107142857142856,0.911391803598013,0.028690293182153753,0.8541666666666667,0.9661016949152542,0.05596751412429374
Sensitivity,0.8947368421052632,0.8966180070028282,0.04078868028352721,0.8113207547169812,0.9677547363031234,0.0782169907930711
Specificity,0.9298245614035088,0.9303694640620152,0.033576270335262094,0.8596422697368421,0.9841269841269841,0.062242357195070985
Balanced_Accuracy,0.9122807017543859,0.9134937355324217,0.027091308549027932,0.8593386243386244,0.9654917465616618,0.053076561111518705
PPV_(Positive_Predictive_Value),0.9272727272727272,0.9281070589635589,0.034602829484507804,0.8545454545454545,0.9836195680457975,0.06453705675017152
NPV_(Negative_Predictive_Value),0.8983050847457628,0.899684167303519,0.040522630608729425,0.8112758310871518,0.96875,0.07873708445642408
FPR_(False_Positive_Rate),0.07017543859649122,0.06963053593798481,0.033576270335262094,0.015873015873015872,0.14035773026315787,0.062242357195071
FNR_(False_Negative_Rate),0.10526315789473684,0.10338199299717173,0.04078868028352721,0.0322452636968766,0.18867924528301888,0.07821699079307114
Matthews_Correlation_Coefficient,0.8250694512486008,0.8273745745752071,0.05409860245509649,0.7189413913142727,0.929888311511914,0.10547346009882064
Cohen_Kappa,0.8245614035087718,0.825709572786096,0.05462775049766911,0.7181961876799814,0.9297380585516178,0.10577093543581823
