Metric,Value
Recall,0.8947368421052632
Precision,0.9272727272727272
Accuracy,0.9122807017543859
F1_Score,0.9107142857142856
Sensitivity,0.8947368421052632
Specificity,0.9298245614035088
Balanced_Accuracy,0.9122807017543859
PPV_(Positive_Predictive_Value),0.9272727272727272
NPV_(Negative_Predictive_Value),0.8983050847457628
FPR_(False_Positive_Rate),0.07017543859649122
FNR_(False_Negative_Rate),0.10526315789473684
Matthews_Correlation_Coefficient,0.8250694512486008
Cohen_Kappa,0.8245614035087718
TP_(True_Positives),51.0
FP_(False_Positives),4.0
FN_(False_Negatives),6.0
TN_(True_Negatives),53.0
