Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Recall,0.8771929824561403,0.87886805839466,0.044096700872076525,0.7878539493293591,0.9622816212438854,0.08721383595726312
Precision,0.9259259259259259,0.9267490317345258,0.03525216049313877,0.8545359848484848,0.9833467741935483,0.06440539467253176
Accuracy,0.9035087719298246,0.9046140350877192,0.028570276435460784,0.8421052631578947,0.9649122807017544,0.06140350877192985
F1_Score,0.9009009009009009,0.9013893497927045,0.030609195870153517,0.8363336663336662,0.9600384615384615,0.061852397602397635
Sensitivity,0.8771929824561403,0.87886805839466,0.044096700872076525,0.7878539493293591,0.9622816212438854,0.08721383595726312
Specificity,0.9298245614035088,0.9303694640620152,0.033576270335262094,0.8596422697368421,0.9841269841269841,0.062242357195070985
Balanced_Accuracy,0.9035087719298245,0.9046187612283376,0.02844076335475316,0.84403950017507,0.9606943941178209,0.05832744697137543
PPV_(Positive_Predictive_Value),0.9259259259259259,0.9267490317345258,0.03525216049313877,0.8545359848484848,0.9833467741935483,0.06440539467253176
NPV_(Negative_Predictive_Value),0.8833333333333333,0.8844245505429652,0.04306079856809002,0.7962301587301587,0.9655318527177089,0.08465084699377512
FPR_(False_Positive_Rate),0.07017543859649122,0.06963053593798481,0.033576270335262094,0.015873015873015872,0.14035773026315787,0.062242357195071
FNR_(False_Negative_Rate),0.12280701754385964,0.12113194160533998,0.044096700872076525,0.037718378756114605,0.21214605067064082,0.0872138359572631
Matthews_Correlation_Coefficient,0.8081376242652525,0.8101839328277982,0.056585306698839766,0.68649183286716,0.9277874959634811,0.12064783154816056
Cohen_Kappa,0.8070175438596492,0.8078180875377589,0.05737850563976897,0.6844945620508837,0.927174244146499,0.12133984104780765
