Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Recall,0.8421052631578947,0.8424926785530411,0.046115781056650706,0.75,0.9252620545073375,0.08763102725366873
Precision,0.9230769230769231,0.9233839141531726,0.03741664369665209,0.8557792207792208,0.9824561403508771,0.0633384597858282
Accuracy,0.8859649122807017,0.8859298245614035,0.02900842046694499,0.8245614035087719,0.9385964912280702,0.057017543859649134
F1_Score,0.8807339449541285,0.880156752423751,0.032143426208086495,0.8138663053297199,0.9386186994998076,0.06237619708504383
Sensitivity,0.8421052631578947,0.8424926785530411,0.046115781056650706,0.75,0.9252620545073375,0.08763102725366873
Specificity,0.9298245614035088,0.9296318919212058,0.03450741105237022,0.8571428571428571,0.984501201923077,0.06367917239010995
Balanced_Accuracy,0.8859649122807017,0.8860622852371234,0.02870142381500332,0.8286890385542736,0.9394453004622496,0.055378130953988025
PPV_(Positive_Predictive_Value),0.9230769230769231,0.9233839141531726,0.03741664369665209,0.8557792207792208,0.9824561403508771,0.0633384597858282
NPV_(Negative_Predictive_Value),0.8548387096774194,0.854191461117161,0.04393567131404511,0.7557501241927471,0.9292293233082707,0.08673959955776178
FPR_(False_Positive_Rate),0.07017543859649122,0.07036810807879423,0.03450741105237022,0.015498798076923078,0.14285714285714285,0.06367917239010988
FNR_(False_Negative_Rate),0.15789473684210525,0.15750732144695895,0.04611578105665071,0.07473794549266247,0.25,0.08763102725366877
Matthews_Correlation_Coefficient,0.7749169490439816,0.774808633848318,0.05684691617162399,0.6622256348626037,0.8789037437052418,0.10833905442131908
Cohen_Kappa,0.7719298245614035,0.7703929135268234,0.05810764943231235,0.6505891734102743,0.877232646365221,0.11332173647747334
TP_(True_Positives),48.0,48.0,0.0,48.0,48.0,0.0
FP_(False_Positives),4.0,4.0,0.0,4.0,4.0,0.0
FN_(False_Negatives),9.0,9.0,0.0,9.0,9.0,0.0
TN_(True_Negatives),53.0,53.0,0.0,53.0,53.0,0.0
