,precision,recall,f1-score,support
Negative,0.9565217391304348,0.7719298245614035,0.8543689320388349,57.0
Positive,0.8088235294117647,0.9649122807017544,0.88,57.0
accuracy,0.868421052631579,0.868421052631579,0.868421052631579,0.868421052631579
macro avg,0.8826726342710998,0.868421052631579,0.8671844660194175,114.0
weighted avg,0.8826726342710997,0.868421052631579,0.8671844660194175,114.0
Sensitivity_(Recall),0.9649122807017544,,,
Specificity,0.7719298245614035,,,
Balanced_Accuracy,0.868421052631579,,,
PPV_(Positive_Predictive_Value),0.8088235294117647,,,
NPV_(Negative_Predictive_Value),0.9565217391304348,,,
FPR_(False_Positive_Rate),0.22807017543859648,,,
FNR_(False_Negative_Rate),0.03508771929824561,,,
Matthews_Correlation_Coefficient,0.7509584668447591,,,
Cohen_Kappa,0.736842105263158,,,
TP_(True_Positives),55.0,,,
FP_(False_Positives),13.0,,,
FN_(False_Negatives),2.0,,,
TN_(True_Negatives),44.0,,,
