Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin,Wilson_CI_Lower,Wilson_CI_Upper
Recall,0.9824561403508771,0.9817356046578416,0.01711218875001154,0.9433962264150944,1.0,0.028301886792452824,0.9070925082143229,0.9968963353485918
Precision,0.7466666666666667,0.7477179409542953,0.05037892019730069,0.6447368421052632,0.8441558441558441,0.09970950102529047,0.6378967313440042,0.8313995063644785
Accuracy,0.8245614035087719,0.8252719298245614,0.03515173874564536,0.7543859649122807,0.8947368421052632,0.07017543859649122,0.5372251158005144,0.7750619392484925
F1_Score,0.8484848484848485,0.8478983075309318,0.03361480364942825,0.7758620689655173,0.9115696278511404,0.06785377944281151,0.5372251158005144,0.7750619392484925
Sensitivity,0.9824561403508771,0.9817356046578416,0.01711218875001154,0.9433962264150944,1.0,0.028301886792452824,0.9824561403508771,0.9824561403508771
Specificity,0.6666666666666666,0.6686145811649639,0.062277174557539776,0.5409205548549811,0.7857142857142857,0.12239686542965228,0.6666666666666666,0.6666666666666666
Balanced_Accuracy,0.8245614035087718,0.8251750929114028,0.03219448676529469,0.7618956043956043,0.8846311475409836,0.06136777157268963,0.8245614035087718,0.8245614035087718
PPV_(Positive_Predictive_Value),0.7466666666666667,0.7477179409542953,0.05037892019730069,0.6447368421052632,0.8441558441558441,0.09970950102529047,0.6378967313440042,0.8313995063644785
NPV_(Negative_Predictive_Value),0.9743589743589743,0.9732779906488581,0.025018975463176912,0.9188626126126127,1.0,0.04056869369369365,0.9743589743589743,0.9743589743589743
FPR_(False_Positive_Rate),0.3333333333333333,0.33138541883503614,0.062277174557539776,0.21428571428571427,0.45907944514501886,0.1223968654296523,0.3333333333333333,0.3333333333333333
FNR_(False_Negative_Rate),0.017543859649122806,0.01826439534215842,0.01711218875001154,0.0,0.05660377358490566,0.02830188679245283,0.017543859649122806,0.017543859649122806
Matthews_Correlation_Coefficient,0.6841302420111159,0.6844015438807896,0.05681714144742121,0.5732780580613758,0.7931982578412226,0.10996009988992339,0.6841302420111159,0.6841302420111159
Cohen_Kappa,0.6491228070175439,0.6488996897067675,0.06686621820657317,0.5179295278469384,0.7745327210561559,0.12830159660460877,0.6491228070175439,0.6491228070175439
