Metric,Mean,Std,Formatted,Run_Range
Accuracy,0.887719298245614,0.027320020179644654,0.8877 ± 0.0273,0-0
Precision(+),0.8548983696042519,0.06805488987785506,0.8549 ± 0.0681,0-0
Recall(+),0.9438596491228071,0.047075115315785045,0.9439 ± 0.0471,0-0
Recall(-),0.8315789473684211,0.08824404449094242,0.8316 ± 0.0882,0-0
F1_Macro,0.8868773777879764,0.028058052707990423,0.8869 ± 0.0281,0-0
Sensitivity_(Recall),0.9438596491228071,0.047075115315785045,0.9439 ± 0.0471,0-0
Specificity,0.8315789473684211,0.08824404449094242,0.8316 ± 0.0882,0-0
Balanced_Accuracy,0.887719298245614,0.027320020179644654,0.8877 ± 0.0273,0-0
PPV_(Positive_Predictive_Value),0.8548983696042519,0.06805488987785506,0.8549 ± 0.0681,0-0
NPV_(Negative_Predictive_Value),0.9408102107773282,0.037974103666034265,0.9408 ± 0.0380,0-0
FPR_(False_Positive_Rate),0.1684210526315789,0.08824404449094239,0.1684 ± 0.0882,0-0
FNR_(False_Negative_Rate),0.056140350877192956,0.047075115315785024,0.0561 ± 0.0471,0-0
Matthews_Correlation_Coefficient,0.7854820886420099,0.048322519646302464,0.7855 ± 0.0483,0-0
Cohen_Kappa,0.775438596491228,0.05464004035928926,0.7754 ± 0.0546,0-0
