Metric,Point_Estimate,Fold_Std,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Accuracy,0.887719298245614,0.027320020179644654,0.8879263157894737,0.010987005951784555,0.8648245614035087,0.9087719298245615,0.021973684210526367
Precision(+),0.8548983696042519,0.06805488987785506,0.8561618185735833,0.027624980056005343,0.8050134669252317,0.9128384687208217,0.053912500897795035
Recall(+),0.9438596491228071,0.047075115315785045,0.942722807017544,0.01914613867177355,0.9017543859649123,0.9649122807017545,0.031578947368421095
Recall(-),0.8315789473684211,0.08824404449094242,0.8331298245614034,0.03580849786774747,0.764736842105263,0.9052631578947368,0.07026315789473686
F1_Macro,0.8868773777879764,0.028058052707990423,0.8870877256190748,0.011283506966176143,0.8633205512498463,0.908472809338878,0.022576129044515836
Sensitivity_(Recall),0.9438596491228071,0.047075115315785045,0.942722807017544,0.01914613867177355,0.9017543859649123,0.9649122807017545,0.031578947368421095
Specificity,0.8315789473684211,0.08824404449094242,0.8331298245614034,0.03580849786774747,0.764736842105263,0.9052631578947368,0.07026315789473686
Balanced_Accuracy,0.887719298245614,0.027320020179644654,0.8879263157894737,0.010987005951784555,0.8648245614035087,0.9087719298245615,0.021973684210526367
PPV_(Positive_Predictive_Value),0.8548983696042519,0.06805488987785506,0.8561618185735833,0.027624980056005343,0.8050134669252317,0.9128384687208217,0.053912500897795035
NPV_(Negative_Predictive_Value),0.9408102107773282,0.037974103666034265,0.9398812703474011,0.015435031853476933,0.9065553494124924,0.9592164138382626,0.026330532212885116
FPR_(False_Positive_Rate),0.1684210526315789,0.08824404449094239,0.16687017543859645,0.035808497867747466,0.09473684210526312,0.23526315789473665,0.07026315789473676
FNR_(False_Negative_Rate),0.056140350877192956,0.047075115315785024,0.05727719298245612,0.019146138671773505,0.0350877192982456,0.09824561403508768,0.03157894736842104
Matthews_Correlation_Coefficient,0.7854820886420099,0.048322519646302464,0.7858566715812404,0.019434930801035914,0.7451520072364529,0.8228075722974122,0.03882778253047964
Cohen_Kappa,0.775438596491228,0.05464004035928926,0.7758526315789472,0.021974011903569114,0.7296491228070175,0.8175438596491229,0.04394736842105268
