Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Recall,0.8947368421052632,0.895623702117133,0.04117532660832342,0.8112505018065035,0.9677547363031234,0.07825211724830994
Precision,0.8947368421052632,0.895371510904826,0.03949429830250353,0.8125,0.9643013784461153,0.07590068922305765
Accuracy,0.8947368421052632,0.895421052631579,0.028904694755105285,0.8421052631578947,0.956140350877193,0.057017543859649134
F1_Score,0.8947368421052632,0.8946841142519187,0.030343999722056775,0.8332964601769911,0.9538532110091743,0.0602783754160916
Sensitivity,0.8947368421052632,0.895623702117133,0.04117532660832342,0.8112505018065035,0.9677547363031234,0.07825211724830994
Specificity,0.8947368421052632,0.8951414425163309,0.04009417015515352,0.8102474972191324,0.9655172413793104,0.07763487208008901
Balanced_Accuracy,0.8947368421052632,0.895382572316732,0.02902293784544702,0.8376312972741544,0.9534871752671292,0.057927938996487405
PPV_(Positive_Predictive_Value),0.8947368421052632,0.895371510904826,0.03949429830250353,0.8125,0.9643013784461153,0.07590068922305765
NPV_(Negative_Predictive_Value),0.8947368421052632,0.8952721916033877,0.04187880803459388,0.803921568627451,0.9687620192307692,0.0824202253016591
FPR_(False_Positive_Rate),0.10526315789473684,0.10485855748366897,0.04009417015515352,0.034482758620689655,0.18975250278086753,0.07763487208008893
FNR_(False_Negative_Rate),0.10526315789473684,0.10437629788286708,0.04117532660832342,0.0322452636968766,0.18874949819349654,0.07825211724830997
Matthews_Correlation_Coefficient,0.7894736842105263,0.7906926617486565,0.057817705787610266,0.6766576890433026,0.9104392740632483,0.11689079250997286
Cohen_Kappa,0.7894736842105263,0.7892852545778765,0.05813319340464735,0.6751011354337869,0.9102927289896128,0.11759579677791293
