Metric,Value
Recall,0.8947368421052632
Precision,0.8947368421052632
Accuracy,0.8947368421052632
F1_Score,0.8947368421052632
Sensitivity,0.8947368421052632
Specificity,0.8947368421052632
Balanced_Accuracy,0.8947368421052632
PPV_(Positive_Predictive_Value),0.8947368421052632
NPV_(Negative_Predictive_Value),0.8947368421052632
FPR_(False_Positive_Rate),0.10526315789473684
FNR_(False_Negative_Rate),0.10526315789473684
Matthews_Correlation_Coefficient,0.7894736842105263
Cohen_Kappa,0.7894736842105263
TP_(True_Positives),51.0
FP_(False_Positives),6.0
FN_(False_Negatives),6.0
TN_(True_Negatives),51.0
