Fold,Metric,Mean
0,Recall,0.9993392798149984
0,Precision,0.9721999035834806
0,Accuracy,0.9904564203488528
0,F1_Score,0.9855827971002687
0,Sensitivity,0.9993392798149984
0,Specificity,0.9861516910146088
0,Balanced_Accuracy,0.9927454854148036
0,PPV_(Positive_Predictive_Value),0.9721999035834806
0,NPV_(Negative_Predictive_Value),0.9996754168864364
0,FPR_(False_Positive_Rate),0.0138483089853912
0,FNR_(False_Negative_Rate),0.0006607201850016
0,Matthews_Correlation_Coefficient,0.9786594673813942
0,Cohen_Kappa,0.9784523219287976
0,TP_(True_Positives),12100.0
0,FP_(False_Positives),346.0
0,FN_(False_Negatives),8.0
0,TN_(True_Negatives),24639.0
1,Recall,0.1334679925419515
1,Precision,0.1777455899849981
1,Accuracy,0.5550236447923218
1,F1_Score,0.1524570160843039
1,Sensitivity,0.1334679925419515
1,Specificity,0.7355681251039761
1,Balanced_Accuracy,0.4345180588229638
1,PPV_(Positive_Predictive_Value),0.1777455899849981
1,NPV_(Negative_Predictive_Value),0.6646573365602875
1,FPR_(False_Positive_Rate),0.2644318748960239
1,FNR_(False_Negative_Rate),0.8665320074580485
1,Matthews_Correlation_Coefficient,-0.1436646253858942
1,Cohen_Kappa,-0.1410047493960875
1,TP_(True_Positives),3436.0
1,FP_(False_Positives),15895.0
1,FN_(False_Negatives),22308.0
1,TN_(True_Negatives),44215.0
2,Recall,0.6752823378740249
2,Precision,0.9992534313443978
2,Accuracy,0.9275738090299384
2,F1_Score,0.8059286706808707
2,Sensitivity,0.6752823378740249
2,Specificity,0.9998554543736172
2,Balanced_Accuracy,0.837568896123821
2,PPV_(Positive_Predictive_Value),0.9992534313443978
2,NPV_(Negative_Predictive_Value),0.9148752174665026
2,FPR_(False_Positive_Rate),0.0001445456263829
2,FNR_(False_Negative_Rate),0.3247176621259751
2,Matthews_Correlation_Coefficient,0.7855970963467924
2,Cohen_Kappa,0.7634394502764578
2,TP_(True_Positives),17400.0
2,FP_(False_Positives),13.0
2,FN_(False_Negatives),8367.0
2,TN_(True_Negatives),89924.0
3,Recall,0.0692831903079252
3,Precision,0.4397863818424566
3,Accuracy,0.6901993886608091
3,F1_Score,0.1197078169858632
3,Sensitivity,0.0692831903079252
3,Specificity,0.9614458716945072
3,Balanced_Accuracy,0.5153645310012163
3,PPV_(Positive_Predictive_Value),0.4397863818424566
3,NPV_(Negative_Predictive_Value),0.7027967331148246
3,FPR_(False_Positive_Rate),0.0385541283054927
3,FNR_(False_Negative_Rate),0.9307168096920748
3,Matthews_Correlation_Coefficient,0.0661924873382339
3,Cohen_Kappa,0.0402854400698485
3,TP_(True_Positives),1647.0
3,FP_(False_Positives),2098.0
3,FN_(False_Negatives),22125.0
3,TN_(True_Negatives),52319.0
4,Recall,0.9873798331427605
4,Precision,0.3402507187367745
4,Accuracy,0.4172248191073829
4,F1_Score,0.506099678735782
4,Sensitivity,0.9873798331427605
4,Specificity,0.1700690262887355
4,Balanced_Accuracy,0.5787244297157479
4,PPV_(Positive_Predictive_Value),0.3402507187367745
4,NPV_(Negative_Predictive_Value),0.9688349717632294
4,FPR_(False_Positive_Rate),0.8299309737112645
4,FNR_(False_Negative_Rate),0.0126201668572396
4,Matthews_Correlation_Coefficient,0.2206018799462551
4,Cohen_Kappa,0.1023239642354798
4,TP_(True_Positives),23315.0
4,FP_(False_Positives),45208.0
4,FN_(False_Negatives),298.0
4,TN_(True_Negatives),9264.0
