Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Recall,0.13346799254195152,0.1334705913893676,0.002142917095581489,0.12913079732631483,0.13764876600612058,0.004258984339902877
Precision,0.28609492089925065,0.28606275805191567,0.004180078968960557,0.2780252219130896,0.2945292659909927,0.008252022038951562
Accuracy,0.6402963170032846,0.6402771798634892,0.0016081612536927962,0.6371738649334917,0.6434301255620006,0.0031281303142544625
F1_Score,0.18202044816443289,0.18201237605168816,0.002710658433152365,0.17666456342124112,0.1871986429323008,0.005267039755529834
Sensitivity,0.13346799254195152,0.1334705913893676,0.002142917095581489,0.12913079732631483,0.13764876600612058,0.004258984339902877
Specificity,0.8573615039094993,0.8573351324349366,0.001412626084274902,0.8542824218736977,0.860015377158121,0.002866477642211651
Balanced_Accuracy,0.4954147482257254,0.49540286191215216,0.0012852116030194955,0.4928633863979091,0.49802962515274907,0.002583119377419979
PPV_(Positive_Predictive_Value),0.28609492089925065,0.28606275805191567,0.004180078968960557,0.2780252219130896,0.2945292659909927,0.008252022038951562
NPV_(Negative_Predictive_Value),0.6979036888575917,0.6978959310745296,0.001671978397731176,0.694629060092779,0.7011462382578869,0.003258589082553942
FPR_(False_Positive_Rate),0.14263849609050075,0.1426648675650633,0.0014126260842749015,0.13998462284187904,0.14571757812630223,0.0028664776422115956
FNR_(False_Negative_Rate),0.8665320074580485,0.8665294086106323,0.0021429170955814883,0.8623512339938795,0.8708692026736852,0.004258984339902849
Matthews_Correlation_Coefficient,-0.012113661956922794,-0.012144382907151682,0.0033948485239210587,-0.01876815165216602,-0.005209906378383187,0.006779122636891417
Cohen_Kappa,-0.0108206685537664,-0.010848360301447911,0.003032732626026806,-0.016801773569480705,-0.004642218660542596,0.006079777454469054
TP_(True_Positives),3436.0,3436.0,0.0,3436.0,3436.0,0.0
FP_(False_Positives),8574.0,8574.0,0.0,8574.0,8574.0,0.0
FN_(False_Negatives),22308.0,22308.0,0.0,22308.0,22308.0,0.0
TN_(True_Negatives),51536.0,51536.0,0.0,51536.0,51536.0,0.0
