,precision,recall,f1-score,support
Negative,0.9922188007019636,0.9995663631208512,0.9958790295779328,89937.0
Positive,0.9984462770407554,0.9726394225171732,0.9853739089407879,25767.0
accuracy,0.9935697987969301,0.9935697987969301,0.9935697987969301,0.9935697987969301
macro avg,0.9953325388713594,0.9861028928190122,0.9906264692593604,115704.0
weighted avg,0.9936056445692598,0.9935697987969301,0.9935395647067329,115704.0
Sensitivity_(Recall),0.9726394225171732,,,
Specificity,0.9995663631208512,,,
Balanced_Accuracy,0.9861028928190122,,,
PPV_(Positive_Predictive_Value),0.9984462770407554,,,
NPV_(Negative_Predictive_Value),0.9922188007019636,,,
FPR_(False_Positive_Rate),0.00043363687914873747,,,
FNR_(False_Negative_Rate),0.027360577482826873,,,
Matthews_Correlation_Coefficient,0.9813920318664783,,,
Cohen_Kappa,0.9812538439230905,,,
TP_(True_Positives),25062.0,,,
FP_(False_Positives),39.0,,,
FN_(False_Negatives),705.0,,,
TN_(True_Negatives),89898.0,,,
