Experiment_ID,In_Train_Set,In_Val_Set,Fold,Train_Count,Val_Count
Experiment-100,False,True,4,0,32271
Experiment-101,True,False,4,14290,0
Experiment-102,False,True,4,0,17012
Experiment-105,True,False,4,24273,0
Experiment-108,True,False,4,22129,0
Experiment-67,False,True,4,0,31661
Experiment-671,True,False,4,2080,0
Experiment-6710,True,False,4,1857,0
Experiment-6711,True,False,4,1643,0
Experiment-6712,True,False,4,1568,0
Experiment-6713,True,False,4,505,0
Experiment-6714,False,True,4,0,1825
Experiment-6715,False,True,4,0,1651
Experiment-6716,True,False,4,133,0
Experiment-6717,True,False,4,2186,0
Experiment-672,True,False,4,1845,0
Experiment-673,True,False,4,942,0
Experiment-674,True,False,4,803,0
Experiment-675,True,False,4,2347,0
Experiment-676,True,False,4,1891,0
Experiment-677,True,False,4,1101,0
Experiment-678,True,False,4,1314,0
Experiment-679,True,False,4,118,0
Experiment-68,True,False,4,40782,0
Experiment-88,True,False,4,19328,0
Experiment-91,True,False,4,18559,0
Experiment-93,False,True,4,0,14748
Experiment-97,True,False,4,35913,0
Experiment-99,True,False,4,10695,0
Lm_449818_20x_13_03_2019,True,False,4,22312,0
Lm_456061_20x_25_04_2019,True,False,4,20463,0
Lm_462218_20x_14_03_2019,True,False,4,30144,0
Snap-151,False,True,4,0,16536
