Fold,Metric,Mean
0,Recall,0.1334679925419515
0,Precision,0.2860949208992506
0,Accuracy,0.6402963170032846
0,F1_Score,0.1820204481644328
0,Sensitivity,0.1334679925419515
0,Specificity,0.8573615039094993
0,Balanced_Accuracy,0.4954147482257254
0,PPV_(Positive_Predictive_Value),0.2860949208992506
0,NPV_(Negative_Predictive_Value),0.6979036888575917
0,FPR_(False_Positive_Rate),0.1426384960905007
0,FNR_(False_Negative_Rate),0.8665320074580485
0,Matthews_Correlation_Coefficient,-0.0121136619569227
0,Cohen_Kappa,-0.0108206685537664
0,TP_(True_Positives),3436.0
0,FP_(False_Positives),8574.0
0,FN_(False_Negatives),22308.0
0,TN_(True_Negatives),51536.0
1,Recall,0.9998348199537496
1,Precision,0.9916448230668414
1,Accuracy,0.9971962364866688
1,F1_Score,0.9957229807534134
1,Sensitivity,0.9998348199537496
1,Specificity,0.9959175505303182
1,Balanced_Accuracy,0.997876185242034
1,PPV_(Positive_Predictive_Value),0.9916448230668414
1,NPV_(Negative_Predictive_Value),0.9999196302993772
1,FPR_(False_Positive_Rate),0.0040824494696818
1,FNR_(False_Negative_Rate),0.0001651800462504
1,Matthews_Correlation_Coefficient,0.99365620559988
1,Cohen_Kappa,0.993637611123259
1,TP_(True_Positives),12106.0
1,FP_(False_Positives),102.0
1,FN_(False_Negatives),2.0
1,TN_(True_Negatives),24883.0
2,Recall,0.9943251598695634
2,Precision,0.3352418756068308
2,Accuracy,0.4020490491131459
2,F1_Score,0.5014255357772106
2,Sensitivity,0.9943251598695634
2,Specificity,0.1453040093993244
2,Balanced_Accuracy,0.5698145846344439
2,PPV_(Positive_Predictive_Value),0.3352418756068308
2,NPV_(Negative_Predictive_Value),0.9833519691887193
2,FPR_(False_Positive_Rate),0.8546959906006756
2,FNR_(False_Negative_Rate),0.0056748401304366
2,Matthews_Correlation_Coefficient,0.2109146601898113
2,Cohen_Kappa,0.0896853260696401
2,TP_(True_Positives),23479.0
2,FP_(False_Positives),46557.0
2,FN_(False_Negatives),134.0
2,TN_(True_Negatives),7915.0
3,Recall,0.069241124011442
3,Precision,0.7630968938340288
3,Accuracy,0.710483571857934
3,F1_Score,0.1269620887809017
3,Sensitivity,0.069241124011442
3,Specificity,0.9906095521620082
3,Balanced_Accuracy,0.5299253380867252
3,PPV_(Positive_Predictive_Value),0.7630968938340288
3,NPV_(Negative_Predictive_Value),0.7089909511784511
3,FPR_(False_Positive_Rate),0.0093904478379918
3,FNR_(False_Negative_Rate),0.930758875988558
3,Matthews_Correlation_Coefficient,0.1680915724754334
3,Cohen_Kappa,0.0804472992568707
3,TP_(True_Positives),1646.0
3,FP_(False_Positives),511.0
3,FN_(False_Negatives),22126.0
3,TN_(True_Negatives),53906.0
4,Recall,0.9726394225171732
4,Precision,0.9984462770407554
4,Accuracy,0.99356979879693
4,F1_Score,0.985373908940788
4,Sensitivity,0.9726394225171732
4,Specificity,0.9995663631208512
4,Balanced_Accuracy,0.9861028928190122
4,PPV_(Positive_Predictive_Value),0.9984462770407554
4,NPV_(Negative_Predictive_Value),0.9922188007019636
4,FPR_(False_Positive_Rate),0.0004336368791487
4,FNR_(False_Negative_Rate),0.0273605774828268
4,Matthews_Correlation_Coefficient,0.9813920318664784
4,Cohen_Kappa,0.9812538439230905
4,TP_(True_Positives),25062.0
4,FP_(False_Positives),39.0
4,FN_(False_Negatives),705.0
4,TN_(True_Negatives),89898.0
