Metric,Point_Estimate,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin,Wilson_CI_Lower,Wilson_CI_Upper
Recall,0.8947368421052632,0.895387147356977,0.04118611210235774,0.8084901800327332,0.9672263352723426,0.07936807761980469,0.7887718941661297,0.9508553414762553
Precision,0.85,0.8511379644175515,0.04657507604648344,0.7599814814814815,0.9354838709677419,0.0877511947431302,0.7388541093022145,0.9190255941983225
Accuracy,0.868421052631579,0.869359649122807,0.031683004727303295,0.8070175438596491,0.9298245614035088,0.06140350877192985,0.7263682305936197,0.9146420402964472
F1_Score,0.8717948717948718,0.8717020146927452,0.03320456015168822,0.803567612942613,0.9333576642335767,0.06489502564548183,0.7263682305936197,0.9146420402964472
Sensitivity,0.8947368421052632,0.895387147356977,0.04118611210235774,0.8084901800327332,0.9672263352723426,0.07936807761980469,0.8947368421052632,0.8947368421052632
Specificity,0.8421052631578947,0.8434250558810136,0.04823132652373958,0.7399615384615384,0.9310637054354178,0.09555108348693969,0.8421052631578947,0.8421052631578947
Balanced_Accuracy,0.868421052631579,0.8694061016189953,0.03165329066952067,0.8058021541950113,0.9295011485081255,0.061849497156557076,0.868421052631579,0.868421052631579
PPV_(Positive_Predictive_Value),0.85,0.8511379644175515,0.04657507604648344,0.7599814814814815,0.9354838709677419,0.0877511947431302,0.7388541093022145,0.9190255941983225
NPV_(Negative_Predictive_Value),0.8888888888888888,0.8894858011257288,0.043747366160429124,0.7999152542372882,0.9661158192090396,0.0831002824858757,0.8888888888888888,0.8888888888888888
FPR_(False_Positive_Rate),0.15789473684210525,0.15657494411898637,0.04823132652373958,0.06893629456458211,0.2600384615384615,0.09555108348693969,0.15789473684210525,0.15789473684210525
FNR_(False_Negative_Rate),0.10526315789473684,0.10461285264302304,0.04118611210235774,0.032773664727657324,0.19150981996726676,0.07936807761980472,0.10526315789473684,0.10526315789473684
Matthews_Correlation_Coefficient,0.7378647873726218,0.7396941114243587,0.06301439767549925,0.611219678138699,0.8598625853644863,0.12432145361289365,0.7378647873726218,0.7378647873726218
Cohen_Kappa,0.736842105263158,0.7369811889253088,0.06347570658629392,0.6097893104387057,0.8590014116692257,0.12460605061526003,0.736842105263158,0.736842105263158
