Metric,Mean,Std,Formatted,Run_Range
Accuracy,0.8754385964912281,0.0073391230397725615,0.8754 ± 0.0073,414-418
Precision(+),0.9255523048380191,0.04868040618593111,0.9256 ± 0.0487,414-418
Recall(+),0.8210526315789473,0.051746951592114496,0.8211 ± 0.0517,414-418
Recall(-),0.9298245614035088,0.04804583837764617,0.9298 ± 0.0480,414-418
F1_Macro,0.8747998655520807,0.007826070962849914,0.8748 ± 0.0078,414-418
Sensitivity_(Recall),0.8210526315789473,0.051746951592114496,0.8211 ± 0.0517,414-418
Specificity,0.9298245614035088,0.04804583837764617,0.9298 ± 0.0480,414-418
Balanced_Accuracy,0.8754385964912281,0.007339123039772569,0.8754 ± 0.0073,414-418
PPV_(Positive_Predictive_Value),0.9255523048380191,0.04868040618593111,0.9256 ± 0.0487,414-418
NPV_(Negative_Predictive_Value),0.8407500704583152,0.03050173200227326,0.8408 ± 0.0305,414-418
FPR_(False_Positive_Rate),0.0701754385964912,0.04804583837764613,0.0702 ± 0.0480,414-418
FNR_(False_Negative_Rate),0.17894736842105258,0.051746951592114496,0.1789 ± 0.0517,414-418
Matthews_Correlation_Coefficient,0.7584827042822064,0.014021767403721174,0.7585 ± 0.0140,414-418
Cohen_Kappa,0.7508771929824561,0.014678246079545139,0.7509 ± 0.0147,414-418
