Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted
Accuracy,1.0,2.0,0.9211,FALSE,0.0175,0.9211 ± 0.0175
Accuracy,1.5,2.0,0.9211,FALSE,0.0107,0.9211 ± 0.0107
Accuracy,2.0,2.0,0.9140,FALSE,0.0190,0.9140 ± 0.0190
Accuracy,1.0,2.5,0.9053,FALSE,0.0227,0.9053 ± 0.0227
Accuracy,1.5,2.5,0.9140,FALSE,0.0144,0.9140 ± 0.0144
Accuracy,2.0,2.5,0.8930,FALSE,0.0169,0.8930 ± 0.0169
Accuracy,1.0,3.0,0.9140,FALSE,0.0169,0.9140 ± 0.0169
Accuracy,1.5,3.0,0.9211,FALSE,0.0164,0.9211 ± 0.0164
Accuracy,2.0,3.0,0.8789,FALSE,0.0353,0.8789 ± 0.0353
Accuracy,1.0,3.5,0.8982,FALSE,0.0147,0.8982 ± 0.0147
Accuracy,1.5,3.5,0.9035,FALSE,0.0139,0.9035 ± 0.0139
Accuracy,2.0,3.5,0.8491,FALSE,0.0783,0.8491 ± 0.0783
Accuracy,1.0,2.0,0.9088,TRUE,0.0078,0.9088 ± 0.0078
Accuracy,1.5,2.0,0.9070,TRUE,0.0159,0.9070 ± 0.0159
Accuracy,2.0,2.0,0.9140,TRUE,0.0169,0.9140 ± 0.0169
Accuracy,1.0,2.5,0.9018,TRUE,0.0227,0.9018 ± 0.0227
Accuracy,1.5,2.5,0.9158,TRUE,0.0192,0.9158 ± 0.0192
Accuracy,2.0,2.5,0.9158,TRUE,0.0192,0.9158 ± 0.0192
Accuracy,1.0,3.0,0.9088,TRUE,0.0182,0.9088 ± 0.0182
Accuracy,1.5,3.0,0.9123,TRUE,0.0152,0.9123 ± 0.0152
Accuracy,2.0,3.0,0.8807,TRUE,0.0360,0.8807 ± 0.0360
Accuracy,1.0,3.5,0.9140,TRUE,0.0114,0.9140 ± 0.0114
Accuracy,1.5,3.5,0.8491,TRUE,0.0580,0.8491 ± 0.0580
Accuracy,2.0,3.5,0.8368,TRUE,0.0781,0.8368 ± 0.0781
Balanced_Accuracy,1.0,2.0,0.9211,FALSE,0.0175,0.9211 ± 0.0175
Balanced_Accuracy,1.5,2.0,0.9211,FALSE,0.0107,0.9211 ± 0.0107
Balanced_Accuracy,2.0,2.0,0.9140,FALSE,0.0190,0.9140 ± 0.0190
Balanced_Accuracy,1.0,2.5,0.9053,FALSE,0.0227,0.9053 ± 0.0227
Balanced_Accuracy,1.5,2.5,0.9140,FALSE,0.0144,0.9140 ± 0.0144
Balanced_Accuracy,2.0,2.5,0.8930,FALSE,0.0169,0.8930 ± 0.0169
Balanced_Accuracy,1.0,3.0,0.9140,FALSE,0.0169,0.9140 ± 0.0169
Balanced_Accuracy,1.5,3.0,0.9211,FALSE,0.0164,0.9211 ± 0.0164
Balanced_Accuracy,2.0,3.0,0.8789,FALSE,0.0353,0.8789 ± 0.0353
Balanced_Accuracy,1.0,3.5,0.8982,FALSE,0.0147,0.8982 ± 0.0147
Balanced_Accuracy,1.5,3.5,0.9035,FALSE,0.0139,0.9035 ± 0.0139
Balanced_Accuracy,2.0,3.5,0.8491,FALSE,0.0783,0.8491 ± 0.0783
Balanced_Accuracy,1.0,2.0,0.9088,TRUE,0.0078,0.9088 ± 0.0078
Balanced_Accuracy,1.5,2.0,0.9070,TRUE,0.0159,0.9070 ± 0.0159
Balanced_Accuracy,2.0,2.0,0.9140,TRUE,0.0169,0.9140 ± 0.0169
Balanced_Accuracy,1.0,2.5,0.9018,TRUE,0.0227,0.9018 ± 0.0227
Balanced_Accuracy,1.5,2.5,0.9158,TRUE,0.0192,0.9158 ± 0.0192
Balanced_Accuracy,2.0,2.5,0.9158,TRUE,0.0192,0.9158 ± 0.0192
Balanced_Accuracy,1.0,3.0,0.9088,TRUE,0.0182,0.9088 ± 0.0182
Balanced_Accuracy,1.5,3.0,0.9123,TRUE,0.0152,0.9123 ± 0.0152
Balanced_Accuracy,2.0,3.0,0.8807,TRUE,0.0360,0.8807 ± 0.0360
Balanced_Accuracy,1.0,3.5,0.9140,TRUE,0.0114,0.9140 ± 0.0114
Balanced_Accuracy,1.5,3.5,0.8491,TRUE,0.0580,0.8491 ± 0.0580
Balanced_Accuracy,2.0,3.5,0.8368,TRUE,0.0781,0.8368 ± 0.0781
Cohen_Kappa,1.0,2.0,0.8421,FALSE,0.0351,0.8421 ± 0.0351
Cohen_Kappa,1.5,2.0,0.8421,FALSE,0.0215,0.8421 ± 0.0215
Cohen_Kappa,2.0,2.0,0.8281,FALSE,0.0380,0.8281 ± 0.0380
Cohen_Kappa,1.0,2.5,0.8105,FALSE,0.0454,0.8105 ± 0.0454
Cohen_Kappa,1.5,2.5,0.8281,FALSE,0.0288,0.8281 ± 0.0288
Cohen_Kappa,2.0,2.5,0.7860,FALSE,0.0337,0.7860 ± 0.0337
Cohen_Kappa,1.0,3.0,0.8281,FALSE,0.0337,0.8281 ± 0.0337
Cohen_Kappa,1.5,3.0,0.8421,FALSE,0.0328,0.8421 ± 0.0328
Cohen_Kappa,2.0,3.0,0.7579,FALSE,0.0706,0.7579 ± 0.0706
Cohen_Kappa,1.0,3.5,0.7965,FALSE,0.0294,0.7965 ± 0.0294
Cohen_Kappa,1.5,3.5,0.8070,FALSE,0.0277,0.8070 ± 0.0277
Cohen_Kappa,2.0,3.5,0.6982,FALSE,0.1566,0.6982 ± 0.1566
Cohen_Kappa,1.0,2.0,0.8175,TRUE,0.0157,0.8175 ± 0.0157
Cohen_Kappa,1.5,2.0,0.8140,TRUE,0.0319,0.8140 ± 0.0319
Cohen_Kappa,2.0,2.0,0.8281,TRUE,0.0337,0.8281 ± 0.0337
Cohen_Kappa,1.0,2.5,0.8035,TRUE,0.0454,0.8035 ± 0.0454
Cohen_Kappa,1.5,2.5,0.8316,TRUE,0.0384,0.8316 ± 0.0384
Cohen_Kappa,2.0,2.5,0.8316,TRUE,0.0384,0.8316 ± 0.0384
Cohen_Kappa,1.0,3.0,0.8175,TRUE,0.0364,0.8175 ± 0.0364
