Metric,Point_Estimate,Fold_Std,Bootstrap_Mean,Bootstrap_Std,CI_Lower_95%,CI_Upper_95%,CI_Margin
Accuracy,0.8754385964912281,0.0073391230397725615,0.8754666666666667,0.0027980910698125233,0.8701754385964913,0.8807017543859649,0.005263157894736803
Precision(+),0.9255523048380191,0.04868040618593111,0.9259627843584987,0.019759027786465173,0.8941187384044527,0.9676661909519052,0.03677372627372627
Recall(+),0.8210526315789473,0.051746951592114496,0.8206315789473685,0.02097576611061827,0.775438596491228,0.856140350877193,0.04035087719298247
Recall(-),0.9298245614035088,0.04804583837764617,0.9303017543859649,0.019525142695803157,0.8982456140350876,0.9702631578947367,0.036008771929824546
F1_Macro,0.8747998655520807,0.007826070962849914,0.8748246097908888,0.0029928493865832326,0.8687749535539252,0.8804771614546677,0.00585110395037125
Sensitivity_(Recall),0.8210526315789473,0.051746951592114496,0.8206315789473685,0.02097576611061827,0.775438596491228,0.856140350877193,0.04035087719298247
Specificity,0.9298245614035088,0.04804583837764617,0.9303017543859649,0.019525142695803157,0.8982456140350876,0.9702631578947367,0.036008771929824546
Balanced_Accuracy,0.8754385964912281,0.007339123039772569,0.8754666666666667,0.002798091069812531,0.8701754385964913,0.8807017543859649,0.005263157894736803
PPV_(Positive_Predictive_Value),0.9255523048380191,0.04868040618593111,0.9259627843584987,0.019759027786465173,0.8941187384044527,0.9676661909519052,0.03677372627372627
NPV_(Negative_Predictive_Value),0.8407500704583152,0.03050173200227326,0.8404802294693171,0.01237116472658948,0.8135676392572944,0.8613359476631285,0.023884154202917063
FPR_(False_Positive_Rate),0.0701754385964912,0.04804583837764613,0.06969824561403506,0.01952514269580312,0.02973684210526315,0.10175438596491224,0.036008771929824546
FNR_(False_Negative_Rate),0.17894736842105258,0.051746951592114496,0.17936842105263154,0.020975766110618282,0.14385964912280697,0.2245614035087719,0.04035087719298247
Matthews_Correlation_Coefficient,0.7584827042822064,0.014021767403721174,0.7585813917628377,0.005451089969788303,0.747678362326855,0.7683058554024492,0.010313746537797097
Cohen_Kappa,0.7508771929824561,0.014678246079545139,0.7509333333333333,0.00559618213962502,0.7403508771929825,0.7614035087719297,0.010526315789473606
