Metric,Value
Recall,0.8421052631578947
Precision,0.9795918367346939
Accuracy,0.9122807017543859
F1_Score,0.9056603773584905
Sensitivity,0.8421052631578947
Specificity,0.9824561403508771
Balanced_Accuracy,0.9122807017543859
PPV_(Positive_Predictive_Value),0.9795918367346939
NPV_(Negative_Predictive_Value),0.8615384615384616
FPR_(False_Positive_Rate),0.017543859649122806
FNR_(False_Negative_Rate),0.15789473684210525
Matthews_Correlation_Coefficient,0.8328046465275425
Cohen_Kappa,0.8245614035087719
TP_(True_Positives),48.0
FP_(False_Positives),1.0
FN_(False_Negatives),9.0
TN_(True_Negatives),56.0
