Metric,Average_Difference_True_Minus_False,Pair_Count,Propagated_Std_Average_Difference
Accuracy,-0.005700000000000001,12,0.01275695071977103
Balanced_Accuracy,-0.005700000000000001,12,0.01275695071977103
Cohen_Kappa,-0.011408333333333335,12,0.025511884485470687
F1_Macro,-0.00605833333333336,12,0.013854719913765447
FNR_(False_Negative_Rate),0.0020666666666666663,12,0.01716922513297169
FPR_(False_Positive_Rate),0.009374999999999998,12,0.033145417187833905
Matthews_Correlation_Coefficient,-0.009016666666666692,12,0.020950478978878848
NPV_(Negative_Predictive_Value),-0.00156666666666667,12,0.014400195311175472
PPV_(Positive_Predictive_Value),-0.004941666666666659,12,0.02264446829679258
Precision(+),-0.004941666666666659,12,0.02264446829679258
Recall(+),-0.0020666666666666797,12,0.01716922513297169
Recall(-),-0.009375000000000014,12,0.033145417187833905
Sensitivity_(Recall),-0.0020666666666666797,12,0.01716922513297169
Specificity,-0.009375000000000014,12,0.033145417187833905
