Metric,Average_Difference_True_Minus_False,Pair_Count,Propagated_Std_Average_Difference
Accuracy,-0.013888888888888867,12,0.0
Accuracy_Variance_Across_Folds,0.002915786535668616,12,0.0
Avg_Fold_Accuracy,-0.0067251461988304395,12,0.0
Avg_Fold_PR_AUC,-0.0002112935977510814,12,0.0
Avg_Fold_Precision,-0.007285598148947886,12,0.0
Avg_Fold_ROC_AUC,-0.00028470298553402257,12,0.0
Avg_Fold_Recall,-0.0014619883040935717,12,0.0
Avg_Fold_Specificity,-0.01198830409356729,12,0.0
Avg_Pairwise_Fold_Agreement_Rate,-0.009795321637426932,12,0.0
Avg_Per_Patient_Entropy_(Bits),0.01530576483209925,12,0.0
Avg_Voting_Confidence_(Models_Agreeing),0.026315789473684254,12,0.0
Avg_Voting_Margin_(0-2.5),-0.03508771929824565,12,0.0
Balanced_Accuracy,-0.013888888888888831,12,0.0
Close_Call_Rate_(3v2_Splits)_%,2.119883040935672,12,0.0
Cohen_Kappa,-0.02777777777777775,12,0.0
Consensus_Entropy_(Bits),0.05075371288350781,12,0.0
Disagreement_Rate_%,1.3888888888888882,12,0.0
Ensemble_Accuracy_Delta_vs_AvgFold,-0.007163742690058458,12,0.0
Ensemble_Change_From_Any_Flagged_Rate_%,0.21929824561403502,12,0.0
Ensemble_Change_From_Majority_Vote_Rate_%,1.2426900584795317,12,0.0
Ensemble_PR_AUC_(Max_Prob),-0.0010526407409271281,12,0.0
Ensemble_PR_AUC_(Mean_Prob),-3.922718051938926e-05,12,0.0
Ensemble_Precision_Delta_vs_AvgFold,-0.00772370750206814,12,0.0
Ensemble_ROC_AUC_(Max_Prob),-0.0013080947983995321,12,0.0
Ensemble_ROC_AUC_(Mean_Prob),7.694675284701062e-05,12,0.0
Ensemble_Recall_Delta_vs_AvgFold,0.0029239766081871413,12,0.0
Ensemble_Specificity_Delta_vs_AvgFold,-0.017251461988304025,12,0.0
F1_Score,-0.009505755051958572,12,0.0
FNR_(False_Negative_Rate),-0.0014619883040935665,12,0.0
FN_(False_Negatives),-0.08333333333333333,12,0.0
FPR_(False_Positive_Rate),0.029239766081871333,12,0.0
FP_(False_Positives),1.6666666666666667,12,0.0
Fold_Agreement_Rate_(Unanimous%),-1.3888888888888846,12,0.0
Fold_PR_AUC_Variance,-9.533021859780839e-05,12,0.0
Fold_ROC_AUC_Variance,0.0002766539830010251,12,0.0
High_Entropy_Patients_Rate_%,2.119883040935672,12,0.0
Majority_Vote_Rescue_Rate_%,1.6046248743952305,12,0.0
Matthews_Correlation_Coefficient,-0.02151164509200755,12,0.0
Max_Disagreement_Count,0.0,12,0.0
NPV_(Negative_Predictive_Value),0.0013648635149480597,12,0.0
PPV_(Positive_Predictive_Value),-0.015009305651016028,12,0.0
Precision,-0.015009305651016028,12,0.0
Precision_Variance_Across_Folds,0.007182949556951124,12,0.0
Recall,0.0014619883040935626,12,0.0
Recall_Variance_Across_Folds,-0.0010497212410762247,12,0.0
Safety_Override_Activation_Rate_%,1.5350877192982448,12,0.0
Sensitivity,0.0014619883040935626,12,0.0
Specificity,-0.02923976608187133,12,0.0
Specificity_Variance_Across_Folds,0.010532112841138648,12,0.0
Strong_Signal_Patients_Rate_(4-5_Models)_%,-2.477918134180321,12,0.0
TN_(True_Negatives),-1.6666666666666667,12,0.0
TP_(True_Positives),0.08333333333333333,12,0.0
Ultimate_Ghost_Count,-0.08333333333333333,12,0.0
Weak_Signal_Patients_Rate_(1-2_Models)_%,1.422585184040349,12,0.0
