Metric,Average_Difference_True_Minus_False,Pair_Count,Propagated_Std_Average_Difference
Accuracy,-0.0021929824561403763,12,0.0
Balanced_Accuracy,-0.002192982456140404,12,0.0
Cohen_Kappa,-0.004385964912280678,12,0.0
F1_Score,-0.0017765331705880683,12,0.0
FNR_(False_Negative_Rate),-0.0029239766081871343,12,0.0
FN_(False_Negatives),-0.16666666666666666,12,0.0
FPR_(False_Positive_Rate),0.007309941520467833,12,0.0
FP_(False_Positives),0.4166666666666667,12,0.0
Matthews_Correlation_Coefficient,-0.004400280656458848,12,0.0
NPV_(Negative_Predictive_Value),0.002078620463721509,12,0.0
PPV_(Positive_Predictive_Value),-0.0064931609163590975,12,0.0
Precision,-0.0064931609163590975,12,0.0
Recall,0.0029239766081871252,12,0.0
Sensitivity,0.0029239766081871252,12,0.0
Specificity,-0.00730994152046784,12,0.0
TN_(True_Negatives),-0.4166666666666667,12,0.0
TP_(True_Positives),0.16666666666666666,12,0.0
