Metric,Average_Difference_True_Minus_False,Pair_Count,Propagated_Std_Average_Difference
Accuracy,-0.0021929824561403763,12,0.0
Balanced_Accuracy,-0.002192982456140404,12,0.0
Cohen_Kappa,-0.004385964912280697,12,0.0
F1_Score,-0.0016721054345814335,12,0.0
FNR_(False_Negative_Rate),-0.0043859649122807015,12,0.0
FN_(False_Negatives),-0.25,12,0.0
FPR_(False_Positive_Rate),0.0087719298245614,12,0.0
FP_(False_Positives),0.5,12,0.0
Matthews_Correlation_Coefficient,-0.004444419555841138,12,0.0
NPV_(Negative_Predictive_Value),0.003292814140002607,12,0.0
PPV_(Positive_Predictive_Value),-0.007795659587278819,12,0.0
Precision,-0.007795659587278819,12,0.0
Recall,0.004385964912280688,12,0.0
Sensitivity,0.004385964912280688,12,0.0
Specificity,-0.008771929824561412,12,0.0
TN_(True_Negatives),-0.5,12,0.0
TP_(True_Positives),0.25,12,0.0
