Metric,Pos_Weight,Gamma,Mean_Transfer_Learning_False,Mean_Transfer_Learning_True,Std_Transfer_Learning_False,Std_Transfer_Learning_True,Difference_True_Minus_False,Propagated_Std_True_Minus_False
Accuracy,1.0,2.0,0.9211,0.9088,0.0175,0.0078,-0.012299999999999978,0.019159592897553958
Accuracy,1.0,2.5,0.9053,0.9018,0.0227,0.0227,-0.0034999999999999476,0.032102647865869256
Accuracy,1.0,3.0,0.914,0.9088,0.0169,0.0182,-0.005199999999999982,0.02483646512690564
Accuracy,1.0,3.5,0.8982,0.914,0.0147,0.0114,0.015800000000000036,0.018602419197512994
Accuracy,1.5,2.0,0.9211,0.907,0.0107,0.0159,-0.014100000000000001,0.019165072397463047
Accuracy,1.5,2.5,0.914,0.9158,0.0144,0.0192,0.0017999999999999128,0.023999999999999997
Accuracy,1.5,3.0,0.9211,0.9123,0.0164,0.0152,-0.00880000000000003,0.022360679774997897
Accuracy,1.5,3.5,0.9035,0.8491,0.0139,0.058,-0.054400000000000004,0.05964235072496724
Accuracy,2.0,2.0,0.914,0.914,0.019,0.0169,0.0,0.025428527287281108
Accuracy,2.0,2.5,0.893,0.9158,0.0169,0.0192,0.02279999999999993,0.025578311124857322
Accuracy,2.0,3.0,0.8789,0.8807,0.0353,0.036,0.0018000000000000238,0.0504191431898639
Accuracy,2.0,3.5,0.8491,0.8368,0.0783,0.0781,-0.012299999999999978,0.1105915910004011
Balanced_Accuracy,1.0,2.0,0.9211,0.9088,0.0175,0.0078,-0.012299999999999978,0.019159592897553958
Balanced_Accuracy,1.0,2.5,0.9053,0.9018,0.0227,0.0227,-0.0034999999999999476,0.032102647865869256
Balanced_Accuracy,1.0,3.0,0.914,0.9088,0.0169,0.0182,-0.005199999999999982,0.02483646512690564
Balanced_Accuracy,1.0,3.5,0.8982,0.914,0.0147,0.0114,0.015800000000000036,0.018602419197512994
Balanced_Accuracy,1.5,2.0,0.9211,0.907,0.0107,0.0159,-0.014100000000000001,0.019165072397463047
Balanced_Accuracy,1.5,2.5,0.914,0.9158,0.0144,0.0192,0.0017999999999999128,0.023999999999999997
Balanced_Accuracy,1.5,3.0,0.9211,0.9123,0.0164,0.0152,-0.00880000000000003,0.022360679774997897
Balanced_Accuracy,1.5,3.5,0.9035,0.8491,0.0139,0.058,-0.054400000000000004,0.05964235072496724
Balanced_Accuracy,2.0,2.0,0.914,0.914,0.019,0.0169,0.0,0.025428527287281108
Balanced_Accuracy,2.0,2.5,0.893,0.9158,0.0169,0.0192,0.02279999999999993,0.025578311124857322
Balanced_Accuracy,2.0,3.0,0.8789,0.8807,0.0353,0.036,0.0018000000000000238,0.0504191431898639
Balanced_Accuracy,2.0,3.5,0.8491,0.8368,0.0783,0.0781,-0.012299999999999978,0.1105915910004011
Cohen_Kappa,1.0,2.0,0.8421,0.8175,0.0351,0.0157,-0.024599999999999955,0.03845126785946076
Cohen_Kappa,1.0,2.5,0.8105,0.8035,0.0454,0.0454,-0.007000000000000006,0.06420529573173851
Cohen_Kappa,1.0,3.0,0.8281,0.8175,0.0337,0.0364,-0.010599999999999943,0.04960493927019768
Cohen_Kappa,1.0,3.5,0.7965,0.8281,0.0294,0.0229,0.03159999999999996,0.03726620452903676
Cohen_Kappa,1.5,2.0,0.8421,0.814,0.0215,0.0319,-0.028100000000000014,0.038468948516953254
Cohen_Kappa,1.5,2.5,0.8281,0.8316,0.0288,0.0384,0.0035000000000000586,0.047999999999999994
Cohen_Kappa,1.5,3.0,0.8421,0.8246,0.0328,0.0304,-0.01749999999999996,0.044721359549995794
Cohen_Kappa,1.5,3.5,0.807,0.6982,0.0277,0.116,-0.10880000000000001,0.11926143551039456
Cohen_Kappa,2.0,2.0,0.8281,0.8281,0.038,0.0337,0.0,0.05079064874561064
Cohen_Kappa,2.0,2.5,0.786,0.8316,0.0337,0.0384,0.045599999999999974,0.051090605790105874
Cohen_Kappa,2.0,3.0,0.7579,0.7614,0.0706,0.0719,0.0034999999999999476,0.10076690925100362
Cohen_Kappa,2.0,3.5,0.6982,0.6737,0.1566,0.1562,-0.024500000000000077,0.2211831820008022
F1_Macro,1.0,2.0,0.9209,0.9086,0.0177,0.0078,-0.012300000000000089,0.019342440383777845
F1_Macro,1.0,2.5,0.905,0.9014,0.0228,0.0231,-0.0036000000000000476,0.03245689449100145
F1_Macro,1.0,3.0,0.9139,0.9086,0.0169,0.0183,-0.005300000000000082,0.0249098374141623
F1_Macro,1.0,3.5,0.8979,0.9138,0.0147,0.0116,0.015899999999999914,0.018725650856512305
F1_Macro,1.5,2.0,0.921,0.9067,0.0107,0.0162,-0.01430000000000009,0.01941468516355596
F1_Macro,1.5,2.5,0.9139,0.9156,0.0144,0.0195,0.0016999999999999238,0.024240668307618913
F1_Macro,1.5,3.0,0.9209,0.9121,0.0166,0.0153,-0.00880000000000003,0.022575429121059913
F1_Macro,1.5,3.5,0.9034,0.8454,0.0139,0.0621,-0.05799999999999994,0.06363662467478928
