Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted,Profile,Source_Folder,Source_File
Accuracy,1.0,2.0,0.9298245614035088,FALSE,,0.9298,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,meta_classifier_summary_00-00.csv
Accuracy,1.0,2.5,0.912280701754386,FALSE,,0.9123,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,meta_classifier_summary_00-00.csv
Accuracy,1.0,3.0,0.9385964912280702,FALSE,,0.9386,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,meta_classifier_summary_00-00.csv
Accuracy,1.0,3.5,0.8859649122807017,FALSE,,0.8860,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,meta_classifier_summary_00-00.csv
Accuracy,1.5,2.0,0.9298245614035088,FALSE,,0.9298,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,meta_classifier_summary_00-00.csv
Accuracy,1.5,2.5,0.9298245614035088,FALSE,,0.9298,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,meta_classifier_summary_00-00.csv
Accuracy,1.5,3.0,0.912280701754386,FALSE,,0.9123,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,meta_classifier_summary_00-00.csv
Accuracy,1.5,3.5,0.9298245614035088,FALSE,,0.9298,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,meta_classifier_summary_00-00.csv
Accuracy,2.0,2.0,0.912280701754386,FALSE,,0.9123,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,meta_classifier_summary_00-00.csv
Accuracy,2.0,2.5,0.9210526315789472,FALSE,,0.9211,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,meta_classifier_summary_00-00.csv
Accuracy,2.0,3.0,0.912280701754386,FALSE,,0.9123,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,meta_classifier_summary_00-00.csv
Accuracy,2.0,3.5,0.912280701754386,FALSE,,0.9123,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,meta_classifier_summary_00-00.csv
Accuracy,1.0,2.0,0.9385964912280702,TRUE,,0.9386,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,meta_classifier_summary_00-00.csv
Accuracy,1.0,2.5,0.9298245614035088,TRUE,,0.9298,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,meta_classifier_summary_00-00.csv
Accuracy,1.0,3.0,0.8947368421052632,TRUE,,0.8947,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,meta_classifier_summary_00-00.csv
Accuracy,1.0,3.5,0.912280701754386,TRUE,,0.9123,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,meta_classifier_summary_00-00.csv
Accuracy,1.5,2.0,0.912280701754386,TRUE,,0.9123,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,meta_classifier_summary_00-00.csv
Accuracy,1.5,2.5,0.8947368421052632,TRUE,,0.8947,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,meta_classifier_summary_00-00.csv
Accuracy,1.5,3.0,0.9385964912280702,TRUE,,0.9386,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,meta_classifier_summary_00-00.csv
Accuracy,1.5,3.5,0.912280701754386,TRUE,,0.9123,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,meta_classifier_summary_00-00.csv
Accuracy,2.0,2.0,0.9210526315789472,TRUE,,0.9211,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,meta_classifier_summary_00-00.csv
Accuracy,2.0,2.5,0.9210526315789472,TRUE,,0.9211,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,meta_classifier_summary_00-00.csv
Accuracy,2.0,3.0,0.9210526315789472,TRUE,,0.9211,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,meta_classifier_summary_00-00.csv
Accuracy,2.0,3.5,0.9035087719298246,TRUE,,0.9035,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,meta_classifier_summary_00-00.csv
Balanced_Accuracy,1.0,2.0,0.9298245614035088,FALSE,,0.9298,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,meta_classifier_summary_00-00.csv
Balanced_Accuracy,1.0,2.5,0.912280701754386,FALSE,,0.9123,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,meta_classifier_summary_00-00.csv
Balanced_Accuracy,1.0,3.0,0.9385964912280702,FALSE,,0.9386,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,meta_classifier_summary_00-00.csv
Balanced_Accuracy,1.0,3.5,0.8859649122807017,FALSE,,0.8860,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,meta_classifier_summary_00-00.csv
Balanced_Accuracy,1.5,2.0,0.9298245614035088,FALSE,,0.9298,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,meta_classifier_summary_00-00.csv
Balanced_Accuracy,1.5,2.5,0.9298245614035088,FALSE,,0.9298,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,meta_classifier_summary_00-00.csv
Balanced_Accuracy,1.5,3.0,0.912280701754386,FALSE,,0.9123,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,meta_classifier_summary_00-00.csv
Balanced_Accuracy,1.5,3.5,0.9298245614035088,FALSE,,0.9298,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,meta_classifier_summary_00-00.csv
Balanced_Accuracy,2.0,2.0,0.912280701754386,FALSE,,0.9123,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,meta_classifier_summary_00-00.csv
Balanced_Accuracy,2.0,2.5,0.9210526315789472,FALSE,,0.9211,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,meta_classifier_summary_00-00.csv
Balanced_Accuracy,2.0,3.0,0.912280701754386,FALSE,,0.9123,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,meta_classifier_summary_00-00.csv
Balanced_Accuracy,2.0,3.5,0.912280701754386,FALSE,,0.9123,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,meta_classifier_summary_00-00.csv
Balanced_Accuracy,1.0,2.0,0.9385964912280702,TRUE,,0.9386,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,meta_classifier_summary_00-00.csv
